port,game,round,depth,num_children,entropy_ratio,q_spread,concentration
5003,1,18,3,2,1.0,0.0,0.5
5000,1,19,1,6,0.9929,0.0174,0.1988
5001,1,19,2,3,0.9999,0.0007,0.3404
5003,1,19,1,3,1.0,0.0001,0.3355
5003,1,19,2,3,0.9999,0.0006,0.3398
5000,1,20,1,4,1.0,0.001,0.25
5000,1,20,2,3,1.0,0.0001,0.3333
5001,1,20,2,15,0.9997,0.0037,0.0705
5002,1,20,1,3,0.9977,0.0004,0.35
5002,1,20,2,3,0.9602,0.0036,0.4
5003,1,20,2,2,0.9999,0.0002,0.5055
5003,1,20,3,2,0.9999,0.0,0.507
5000,1,21,1,6,0.9925,0.0054,0.2308
5000,1,21,2,2,1.0,0.0002,0.5
5003,1,21,1,6,0.9998,0.0,0.1765
5000,1,22,1,3,0.9986,0.0005,0.36
5000,1,22,2,3,0.9821,0.0048,0.4286
5000,1,22,3,2,1.0,0.0001,0.5
5001,1,22,1,5,0.9997,0.0015,0.2093
5002,1,22,1,2,0.9972,0.0042,0.5312
5002,1,22,2,6,0.9888,0.0013,0.2
5002,1,22,3,2,1.0,0.0001,0.5
5003,1,22,1,12,0.9999,0.0001,0.0879
5003,1,22,2,2,0.9999,0.0,0.5062
5000,1,23,1,4,1.0,0.0005,0.25
5000,1,23,3,3,0.9602,0.0003,0.4
5001,1,23,1,4,0.9983,0.0012,0.28
5001,1,23,2,5,1.0,0.0006,0.2
5002,1,23,2,5,0.999,0.0004,0.2191
5000,1,24,3,5,0.9982,0.0017,0.2308
5000,1,24,4,5,1.0,0.0005,0.2
5001,1,24,1,5,0.9995,0.0013,0.2097
5001,1,24,2,3,0.9922,0.0016,0.3636
5001,1,24,3,3,1.0,0.0002,0.3333
5002,1,24,2,5,0.9931,0.0021,0.2143
5000,1,25,1,4,0.9995,0.0014,0.2667
5001,1,25,1,8,0.9996,0.0007,0.1385
5001,1,25,2,2,0.9852,0.0002,0.5714
5001,1,25,3,3,1.0,0.0003,0.3333
5002,1,25,1,4,0.9994,0.0011,0.2683
5002,1,25,4,3,0.9602,0.0025,0.4
5000,1,26,1,4,0.9994,0.0013,0.2558
5000,1,26,2,4,0.9875,0.0006,0.3333
5001,1,26,1,4,0.9998,0.0008,0.2559
5002,1,26,1,2,1.0,0.0033,0.5
5002,1,26,2,3,0.9981,0.0011,0.3636
5003,1,26,1,3,1.0,0.0002,0.3368
5000,1,27,1,7,0.9958,0.0016,0.15
5000,1,27,2,2,1.0,0.0003,0.5
5001,1,27,2,2,0.9999,0.0007,0.505
5002,1,27,1,8,0.9978,0.0049,0.1565
5003,1,27,1,3,0.9947,0.0014,0.3846
5003,1,27,2,3,1.0,0.0001,0.3333
5000,1,28,1,3,0.9986,0.0057,0.3463
5001,1,28,1,3,0.9998,0.0005,0.34
5001,1,28,2,3,0.9997,0.0003,0.3442
5003,1,28,1,3,1.0,0.0002,0.3333
5003,1,28,2,3,1.0,0.0002,0.3333
5003,1,28,3,2,1.0,0.0,0.5
5000,1,29,1,4,0.9998,0.0006,0.2609
5001,1,29,1,2,0.9998,0.0002,0.5085
5001,1,29,2,2,0.9997,0.0001,0.5109
5001,1,29,3,3,0.9976,0.004,0.3672
5002,1,29,1,4,0.9751,0.0011,0.2857
5003,1,29,1,6,0.9994,0.0004,0.1837
5003,1,29,2,2,0.9852,0.0001,0.5714
5000,1,30,1,5,0.9981,0.0078,0.2138
5001,1,30,1,4,0.9981,0.0035,0.2634
5002,1,30,1,3,0.9981,0.0045,0.3639
5003,1,30,1,4,0.9999,0.0008,0.2571
5003,1,30,2,3,0.9996,0.0009,0.3402
5000,1,31,1,3,0.9989,0.0017,0.3448
5000,1,31,2,3,0.9851,0.0006,0.375
5000,1,31,3,2,1.0,0.0002,0.5
5003,1,31,1,3,1.0,0.0,0.3345
5000,1,32,1,3,0.9977,0.0003,0.35
5000,1,32,2,2,0.971,0.0015,0.6
5000,1,32,3,2,1.0,0.0002,0.5
5001,1,32,1,2,0.9996,0.0001,0.512
5003,1,32,1,7,0.9995,0.0001,0.156
5000,1,33,1,4,0.9979,0.0031,0.2692
5000,1,33,2,3,0.9602,0.0004,0.4
5001,1,33,1,3,0.9997,0.0022,0.3422
5000,1,34,1,10,0.9936,0.0067,0.1053
5001,1,34,2,3,0.9998,0.0002,0.3417
5003,1,34,1,2,1.0,0.0002,0.5
5000,1,35,1,10,0.9788,0.0062,0.1667
5001,1,35,1,3,0.9998,0.0006,0.3415
5000,1,36,1,3,0.9952,0.0037,0.3571
5000,1,36,2,4,1.0,0.0008,0.25
5001,1,36,1,3,0.9999,0.0004,0.3364
5001,1,36,2,3,0.9992,0.0006,0.3529
5002,1,36,1,2,0.9971,0.0015,0.5318
5003,1,36,1,10,0.996,0.0002,0.1429
5003,1,36,2,2,1.0,0.0,0.5
5000,1,37,1,4,0.9939,0.0002,0.3077
5000,1,37,2,3,1.0,0.0004,0.3333
5002,1,37,1,2,0.998,0.0016,0.5266
5003,1,37,1,2,0.9975,0.0,0.5294
5003,1,37,2,6,0.9755,0.0001,0.2857
5000,1,38,1,3,0.9952,0.0006,0.3571
5000,1,38,2,3,1.0,0.0002,0.3333
5003,1,38,1,3,0.9989,0.0002,0.3448
5003,1,38,3,3,1.0,0.0,0.3333
5000,1,39,1,3,1.0,0.0058,0.3333
5000,1,39,2,3,0.9602,0.0013,0.4
5003,1,39,2,5,0.9996,0.0,0.2132
5000,1,40,1,6,0.9972,0.0074,0.1739
5000,1,40,2,3,1.0,0.0005,0.3333
5000,1,41,1,4,0.9984,0.0021,0.2667
5000,1,41,2,3,1.0,0.0026,0.3333
5001,1,41,1,3,0.9996,0.0005,0.3455
5001,1,41,2,5,1.0,0.002,0.2013
5003,1,41,1,6,0.9998,0.0,0.1747
5000,1,42,1,3,1.0,0.0021,0.3333
5000,1,42,2,3,0.9602,0.0033,0.4
5003,1,42,1,7,0.9991,0.0,0.1481
5003,1,42,2,2,1.0,0.0,0.5
5000,1,43,1,3,0.9989,0.0011,0.3448
5000,1,43,2,4,1.0,0.0037,0.25
5001,1,43,1,2,1.0,0.0003,0.5032
5001,1,43,2,2,0.9997,0.0019,0.5098
5003,1,43,1,4,1.0,0.0001,0.25
