game,round,num_iterations,max_depth,avg_depth,time_taken,num_children,value
301,1,355,2,2.0,1.0,3,-0.1621036685227648
301,2,330,2,2.0,1.0,3,-0.1570238095238093
301,3,304,2,2.0,1.0,1,-0.13379034708251386
301,4,293,2,2.0,1.0,1,-0.14855488346522724
301,5,270,2,2.0,1.0,2,0.17402643200843618
301,6,267,2,2.0,1.0,3,0.22670012719421215
301,7,213,2,2.0,1.0,3,0.23838140371701164
301,8,226,2,2.0,1.0,5,0.25638818237896704
301,9,249,2,2.0,1.0,1,0.2394035043668289
301,10,250,2,2.0,1.0,1,-0.21255585434173654
301,11,250,2,2.0,1.0,1,0.1873589939370867
301,12,191,2,2.0,1.0,3,0.24027656624857366
301,13,222,2,2.0,1.0,3,0.2811161455949583
301,14,206,2,2.0,1.0,5,0.27757992363086614
301,15,213,2,2.0,1.0,5,0.3663472145087083
301,16,262,2,2.0,1.0,6,0.34313902557243864
301,17,332,2,2.0,1.0,2,0.5
301,18,314,2,2.0,1.0,3,0.5
301,19,245,2,2.0,1.0,3,0.5
301,20,392,2,2.0,1.0,7,0.5
301,21,1104,2,0.057971014492753624,1.0,9,0.9855072463768116
302,1,346,2,2.0,1.0,3,-0.16494302704139222
302,2,318,2,2.0,1.0,2,-0.1610024395179786
302,3,300,2,2.0,1.0,2,-0.13372465254044172
302,4,287,2,2.0,1.0,4,-0.14333776636341355
302,5,271,2,2.0,1.0,4,-0.13521518100632704
302,6,274,2,2.0,1.0,1,-0.15189655172413769
302,7,272,2,2.0,1.0,3,0.19017243511889226
302,8,207,2,2.0,1.0,3,0.2454807907945761
302,9,212,2,2.0,1.0,3,0.2767283233695732
302,10,252,2,2.0,1.0,1,0.26728895041476824
302,11,268,2,2.0,1.0,5,0.24161282747103555
302,12,234,2,2.0,1.0,5,-0.17737303006716887
302,13,221,2,2.0,1.0,5,-0.14341082229390856
302,14,288,2,2.0,1.0,5,0.20377387837189168
302,15,250,2,2.0,1.0,3,0.25346410282706083
302,16,209,2,2.0,1.0,3,0.26904176505141614
302,17,244,2,2.0,1.0,6,0.26949949809915663
302,18,250,2,2.0,1.0,8,0.28920546347532716
302,19,275,2,2.0,1.0,5,-0.03063548994329506
302,20,298,2,2.0,1.0,3,0.006646945858630285
302,21,219,2,2.0,1.0,3,0.033478981015986335
302,22,227,2,2.0,1.0,3,0.4447226985797147
302,23,227,2,2.0,1.0,3,0.4968417767443029
302,24,220,2,2.0,1.0,3,0.5
302,25,248,2,2.0,1.0,7,0.391918834921343
302,26,305,2,2.0,1.0,3,0.3699843260188089
302,27,319,2,2.0,1.0,5,0.40350476807234603
302,28,314,2,2.0,1.0,6,0.39009315344568496
302,29,332,2,2.0,1.0,1,-0.07596876991714409
302,30,265,2,2.0,1.0,5,-0.062240469698985966
302,31,302,2,2.0,1.0,3,0.2296568379094868
302,32,241,2,2.0,1.0,6,0.3855635403394274
302,33,237,2,2.0,1.0,3,0.4058321612751986
302,34,252,2,2.0,1.0,6,0.5
302,35,342,2,2.0,1.0,3,0.5
302,36,320,2,2.0,1.0,5,0.05168480348891562
302,37,252,2,2.0,1.0,3,0.41225703965422483
