game,round,num_iterations,root_node_visits,best_node_visits,best_node_value,avg_depth,explored,total_actions
5,4,10,10,6,0.26813657303303556,9.3,2,2
5,6,6,6,1,-0.27419354838709675,8.5,6,136
5,7,7,7,1,-0.11428571428571428,9.857142857142858,7,408
5,8,8,8,1,-0.5,9.0,8,2047
5,9,3,3,1,-0.5,8.666666666666666,3,629
5,10,5,5,1,-0.4838709677419355,8.6,5,596
5,11,4,4,1,-0.489010989010989,8.25,4,611
5,12,1,1,1,-0.21176470588235294,2.0,1,605
5,13,4,4,1,-0.5,10.0,4,220
5,14,2,2,1,-0.004761904761904762,8.5,2,444
5,15,2,2,1,0.20652173913043478,6.0,2,4580
5,16,3,3,1,-0.49137931034482757,7.333333333333333,3,1368
5,17,1,1,1,-0.2012448132780083,2.0,1,11663
5,18,3,3,1,-0.5,8.0,3,844
5,19,3,3,1,-0.48936170212765956,8.0,3,844
5,20,1,1,1,-0.48947368421052634,7.0,1,814
5,21,2,2,1,-0.45901639344262296,6.0,2,6
5,22,2,2,1,-0.5,6.5,2,16
5,23,1,1,1,-0.20666666666666667,2.0,1,144
5,24,1,1,1,-0.3020833333333333,10.0,1,258
5,25,1,1,1,-0.5,10.0,1,132
5,26,1,1,1,-0.2777777777777778,2.0,1,4
5,27,1,1,1,-0.25813953488372093,3.0,1,200
5,28,1,1,1,-0.3235294117647059,10.0,1,1190
5,29,1,1,1,-0.5,4.0,1,7523
5,30,1,1,1,-0.3404255319148936,3.0,1,1589
5,31,2,2,1,-0.5,6.0,2,811
5,32,1,1,1,-0.4590443686006826,2.0,1,1120
5,33,1,1,1,-0.5,2.0,1,1677
5,34,1,1,1,-0.5,2.0,1,1840
5,35,1,1,1,-0.5,3.0,1,399306
5,36,2,2,1,-0.5,6.0,2,15970
5,37,1,1,1,-0.5,4.0,1,4160
5,38,1,1,1,-0.5,6.0,1,5204
5,39,2,2,1,0.8400000000000001,3.5,2,147
5,40,4,4,2,0.69,6.25,3,3
