game,player
1,Russians
2,Russians
3,Russians
4,Russians
5,Russians
6,Russians
7,Russians
8,Russians
9,Russians
10,Russians
11,Russians
12,Russians
13,Russians
14,Russians
15,Russians
16,Russians
17,Russians
18,Russians
19,Russians
20,Russians
21,Russians
22,Russians
23,Russians
24,Russians
25,Russians
26,Italians
27,Italians
28,Italians
29,Italians
30,Italians
31,Italians
32,Italians
33,Italians
34,Italians
35,Italians
36,Italians
37,Italians
38,Italians
39,Italians
40,Italians
41,Italians
42,Italians
43,Italians
44,Italians
45,Italians
46,Italians
47,Italians
48,Italians
49,Italians
50,Italians
51,Germans
52,Germans
53,Germans
54,Germans
55,Germans
56,Germans
57,Germans
58,Germans
59,Germans
60,Germans
61,Germans
62,Germans
63,Germans
64,Germans
65,Germans
66,Germans
67,Germans
68,Germans
69,Germans
70,Germans
71,Germans
72,Germans
73,Germans
74,Germans
75,Germans
