game,rounds_played,winner,time_taken
289,20,Germans,812
290,48,Germans,1869
291,83,Germans,3408
292,47,Germans,2323
293,30,Russians,1353
294,28,Russians,1294
295,24,Italians,1059
296,38,Germans,1675
297,48,Russians,2051
298,55,Germans,2538
299,80,Chinese,3089
300,37,Italians,1439
301,46,Russians,2148
302,41,Italians,1690
303,43,Russians,1845
304,59,Chinese,2807
305,37,Germans,1695
306,55,Russians,2299
307,44,Russians,1821
308,28,Chinese,1291
309,33,Russians,1311
310,28,Russians,1141
311,51,Chinese,2193
312,40,Russians,1769
313,46,Russians,2120
315,29,Germans,1162
316,40,Russians,1791
317,26,Chinese,1187
318,39,Italians,1694
319,25,Italians,1051
320,34,Russians,1430
321,43,Russians,2007
322,33,Germans,1490
324,35,Chinese,1557
325,36,Italians,1536
326,45,Italians,2121
327,45,Italians,1869
328,37,Italians,1618
329,33,Italians,1277
