game,round,pu_after,territories_after
1,1,16,4
1,2,22,7
1,3,26,9
1,4,24,7
1,5,20,6
1,6,18,5
1,7,18,4
1,8,16,4
1,9,20,5
1,10,18,4
1,11,18,5
1,12,18,4
1,13,16,3
1,14,16,3
1,15,16,4
1,16,16,3
1,17,14,1
1,18,10,1
1,19,12,2
1,20,10,1
1,21,0,0
1,22,0,0
1,23,0,0
1,24,0,0
1,25,0,0
1,26,0,0
1,27,0,0
1,28,0,0
1,29,0,0
1,30,0,0
1,31,0,0
1,32,0,0
1,33,0,0
1,34,0,0
1,35,0,0
1,36,0,0
1,37,0,0
1,38,0,0
2,1,16,4
2,2,18,5
2,3,33,6
2,4,37,7
2,5,24,8
2,6,24,8
2,7,24,8
2,8,24,8
2,9,26,9
2,10,26,9
2,11,28,10
2,12,30,11
2,13,28,10
2,14,28,10
2,15,28,10
2,16,0,5
2,17,0,4
2,18,0,2
2,19,0,2
2,20,0,2
2,21,0,1
2,22,0,1
2,23,0,0
2,24,0,0
2,25,0,0
2,26,0,0
2,27,0,0
2,28,0,0
2,29,0,0
2,30,0,0
2,31,0,0
2,32,0,0
2,33,0,0
2,34,0,0
2,35,0,0
2,36,0,0
2,37,0,0
2,38,0,0
2,39,0,0
2,40,0,0
2,41,0,0
3,1,16,4
3,2,20,6
3,3,22,7
3,4,22,7
3,5,26,9
3,6,28,9
3,7,41,10
3,8,45,12
3,9,47,11
3,10,45,11
3,11,45,12
3,12,45,11
3,13,28,9
3,14,43,9
3,15,45,12
3,16,51,14
3,17,53,16
3,18,49,12
3,19,43,11
3,20,75,13
3,21,46,15
3,22,61,16
3,23,65,18
3,24,69,19
3,25,69,18
3,26,67,17
3,27,95,20
3,28,85,23
3,29,87,25
3,30,89,25
3,31,93,28
3,32,113,29
4,1,16,4
4,2,18,5
4,3,20,6
4,4,22,6
4,5,20,6
4,6,22,7
4,7,37,8
4,8,41,9
4,9,45,10
4,10,45,10
4,11,43,10
4,12,26,9
4,13,26,9
4,14,30,10
4,15,79,12
4,16,59,14
4,17,85,15
4,18,73,17
4,19,75,19
4,20,79,21
4,21,83,22
4,22,85,24
4,23,91,27
4,24,93,28
4,25,93,28
4,26,93,27
4,27,93,28
4,28,93,28
4,29,93,28
4,30,93,26
4,31,91,27
4,32,91,27
4,33,93,27
4,34,93,28
4,35,113,29
5,1,14,3
5,2,16,4
5,3,16,4
5,4,16,4
5,5,16,4
5,6,14,3
5,7,14,3
5,8,16,3
5,9,16,4
5,10,18,5
5,11,16,3
5,12,16,4
5,13,20,6
5,14,18,5
5,15,16,4
5,16,18,4
5,17,16,4
5,18,16,4
5,19,16,4
5,20,16,3
5,21,14,3
5,22,14,3
5,23,14,2
5,24,12,1
5,25,10,1
5,26,12,2
5,27,16,4
5,28,18,5
5,29,16,3
5,30,14,3
5,31,12,2
5,32,12,2
5,33,16,4
5,34,16,3
5,35,14,2
5,36,0,0
5,37,0,0
5,38,0,0
5,39,0,0
6,1,14,3
6,2,18,5
6,3,20,5
6,4,18,5
6,5,18,5
6,6,20,6
6,7,22,7
6,8,22,7
6,9,20,6
6,10,18,5
6,11,18,5
6,12,22,7
6,13,39,9
6,14,43,10
6,15,41,9
6,16,39,8
6,17,24,8
6,18,26,8
6,19,26,9
6,20,28,10
6,21,32,11
6,22,32,12
6,23,34,11
6,24,30,10
6,25,28,9
6,26,26,7
6,27,22,5
6,28,0,3
6,29,0,1
6,30,0,0
6,31,0,0
6,32,0,0
6,33,0,0
6,34,0,0
6,35,0,0
6,36,0,0
6,37,0,0
6,38,0,0
7,1,16,4
7,2,20,6
7,3,22,7
7,4,24,8
7,5,24,8
7,6,26,9
7,7,28,10
7,8,28,10
7,9,26,9
7,10,26,9
7,11,28,10
7,12,43,11
7,13,47,13
7,14,53,16
7,15,53,15
7,16,51,14
7,17,47,10
7,18,30,11
7,19,30,11
7,20,45,12
7,21,49,14
7,22,51,13
7,23,49,12
7,24,54,13
7,25,44,13
7,26,59,15
7,27,65,17
7,28,67,18
7,29,67,18
7,30,67,19
7,31,69,19
7,32,71,20
7,33,80,22
7,34,85,24
7,35,89,25
7,36,87,23
7,37,87,25
7,38,93,28
7,39,93,27
7,40,93,28
7,41,113,29
8,1,16,4
8,2,20,6
8,3,22,7
8,4,22,7
8,5,24,8
8,6,24,8
8,7,26,9
8,8,24,7
8,9,22,6
8,10,22,7
8,11,26,9
8,12,30,10
8,13,32,12
8,14,49,14
8,15,55,17
8,16,61,20
8,17,59,18
8,18,57,17
8,19,77,17
8,20,65,18
8,21,67,18
8,22,67,19
8,23,95,22
8,24,81,22
8,25,85,24
8,26,89,26
8,27,115,28
9,1,16,4
9,2,20,6
9,3,22,7
9,4,22,7
9,5,37,7
9,6,39,8
9,7,37,7
9,8,35,6
9,9,18,4
9,10,22,7
9,11,43,10
9,12,45,9
9,13,26,7
9,14,28,9
9,15,28,9
9,16,30,11
9,17,32,11
9,18,45,9
9,19,26,7
9,20,24,7
9,21,22,6
9,22,24,8
9,23,41,9
9,24,39,7
9,25,24,6
9,26,20,5
9,27,22,7
9,28,24,7
9,29,24,6
9,30,20,5
9,31,20,5
9,32,20,5
9,33,20,6
9,34,22,6
9,35,20,4
9,36,16,2
9,37,14,1
9,38,0,0
9,39,0,0
10,1,16,4
10,2,18,5
10,3,20,6
10,4,22,7
10,5,24,8
10,6,26,9
10,7,28,9
10,8,26,9
10,9,26,8
10,10,24,8
10,11,24,8
10,12,24,8
10,13,24,8
10,14,24,8
10,15,24,8
10,16,24,8
10,17,24,8
10,18,24,8
10,19,24,8
10,20,24,8
10,21,24,8
10,22,24,8
10,23,26,9
10,24,28,10
10,25,54,12
10,26,42,13
10,27,44,14
10,28,59,15
10,29,61,16
10,30,63,17
10,31,93,18
10,32,69,16
10,33,56,15
10,34,50,12
10,35,48,11
10,36,50,11
10,37,40,11
10,38,38,10
10,39,36,9
10,40,36,10
10,41,36,10
10,42,49,10
10,43,51,11
10,44,53,11
10,45,40,11
10,46,38,11
10,47,42,13
10,48,42,13
10,49,42,13
10,50,57,14
10,51,57,14
10,52,57,14
10,53,57,14
10,54,59,15
10,55,61,16
10,56,59,15
10,57,59,15
10,58,61,16
10,59,61,14
10,60,59,13
10,61,42,12
10,62,42,12
10,63,42,12
10,64,52,13
10,65,52,13
10,66,52,13
10,67,67,13
10,68,59,15
10,69,61,16
10,70,65,18
10,71,115,20
10,72,83,23
10,73,89,25
10,74,87,24
10,75,89,25
10,76,86,27
11,1,16,4
11,2,18,5
11,3,20,6
11,4,20,6
11,5,22,7
11,6,26,9
11,7,26,8
11,8,24,7
11,9,24,8
11,10,26,9
11,11,39,9
11,12,45,12
11,13,51,14
11,14,49,13
11,15,49,11
11,16,45,10
11,17,30,10
11,18,48,10
11,19,40,11
11,20,55,13
11,21,61,15
11,22,67,18
11,23,67,17
11,24,65,17
11,25,50,14
11,26,50,15
11,27,70,17
11,28,64,18
11,29,66,21
11,30,85,23
11,31,85,23
11,32,85,24
11,33,87,25
11,34,115,27
12,1,16,4
12,2,20,6
12,3,22,6
12,4,22,7
12,5,24,8
12,6,24,8
12,7,26,8
12,8,37,8
12,9,24,8
12,10,24,7
12,11,24,8
12,12,24,7
12,13,22,6
12,14,20,5
12,15,20,6
12,16,24,8
12,17,24,8
12,18,22,7
12,19,24,7
12,20,24,7
12,21,24,7
12,22,24,8
12,23,26,9
12,24,28,10
12,25,28,9
12,26,24,7
12,27,24,7
12,28,26,9
12,29,41,10
12,30,45,11
12,31,43,10
12,32,43,11
12,33,43,10
12,34,34,11
12,35,32,11
12,36,32,10
12,37,43,11
12,38,47,10
12,39,28,7
12,40,22,6
12,41,22,7
12,42,22,5
12,43,18,3
12,44,14,2
12,45,0,1
13,1,16,4
13,2,20,6
13,3,20,6
13,4,20,6
13,5,18,5
13,6,18,5
13,7,20,5
13,8,20,5
13,9,20,6
13,10,22,6
13,11,33,5
13,12,33,5
13,13,29,2
13,14,14,2
13,15,16,4
13,16,16,4
13,17,16,4
13,18,16,4
13,19,14,2
13,20,14,3
13,21,12,2
13,22,0,2
13,23,0,1
13,24,0,2
13,25,0,2
13,26,0,0
13,27,0,0
13,28,0,0
13,29,0,0
13,30,0,0
13,31,0,0
14,1,14,3
14,2,18,5
14,3,20,6
14,4,20,6
14,5,22,7
14,6,22,7
14,7,24,8
14,8,22,7
14,9,24,8
14,10,24,8
14,11,26,9
14,12,60,12
14,13,42,13
14,14,55,13
14,15,57,14
14,16,61,16
14,17,63,17
14,18,61,16
14,19,63,17
14,20,65,18
14,21,69,19
14,22,67,19
14,23,71,20
14,24,95,21
14,25,66,20
14,26,72,23
14,27,72,24
14,28,128,26
15,1,16,4
15,2,20,6
15,3,22,7
15,4,26,8
15,5,24,7
15,6,24,8
15,7,26,9
15,8,28,8
15,9,22,7
15,10,24,8
15,11,39,9
15,12,47,12
15,13,49,13
15,14,47,11
15,15,41,9
15,16,28,8
15,17,26,8
15,18,26,8
15,19,28,10
15,20,45,11
15,21,49,11
15,22,45,10
15,23,30,9
15,24,54,12
15,25,42,10
15,26,38,10
15,27,38,9
15,28,0,8
16,1,14,3
16,2,16,4
16,3,20,6
16,4,20,6
16,5,20,6
16,6,20,6
16,7,20,6
16,8,20,6
16,9,18,5
16,10,18,5
16,11,18,5
16,12,18,5
16,13,20,6
16,14,20,6
16,15,22,7
16,16,24,8
16,17,24,8
16,18,24,8
16,19,28,9
16,20,26,9
16,21,26,9
16,22,26,9
16,23,24,8
16,24,22,7
16,25,24,7
16,26,24,8
16,27,22,7
16,28,24,8
16,29,22,7
16,30,22,7
16,31,22,7
16,32,24,8
16,33,26,9
16,34,24,8
16,35,24,8
16,36,39,9
16,37,41,10
16,38,39,7
16,39,20,6
16,40,18,4
16,41,18,4
16,42,20,6
16,43,22,5
16,44,18,3
16,45,0,1
16,46,0,0
16,47,0,0
16,48,0,0
16,49,0,0
16,50,0,0
16,51,0,0
16,52,0,0
16,53,0,0
16,54,0,0
16,55,0,0
16,56,0,0
16,57,0,0
17,1,16,4
17,2,20,6
17,3,22,7
17,4,22,6
17,5,22,7
17,6,22,6
17,7,20,6
17,8,35,7
17,9,37,8
17,10,37,7
17,11,18,5
17,12,14,3
17,13,10,1
17,14,14,3
17,15,18,4
17,16,20,6
17,17,24,7
17,18,20,5
17,19,20,5
17,20,20,6
17,21,20,6
17,22,16,4
17,23,18,5
17,24,20,6
17,25,20,6
17,26,20,5
17,27,20,5
17,28,18,5
17,29,20,5
17,30,20,5
17,31,20,5
17,32,20,4
17,33,16,4
17,34,14,3
17,35,16,4
17,36,16,3
17,37,0,1
17,38,0,2
17,39,0,1
17,40,0,1
17,41,0,1
17,42,0,1
17,43,0,0
17,44,0,0
17,45,0,0
17,46,0,0
17,47,0,0
17,48,0,0
18,1,14,3
18,2,18,5
18,3,24,8
18,4,24,7
18,5,22,7
18,6,20,6
18,7,33,6
18,8,35,6
18,9,24,8
18,10,28,8
18,11,26,9
18,12,30,11
18,13,32,12
18,14,32,10
18,15,39,8
18,16,43,11
18,17,47,12
18,18,49,13
18,19,54,14
18,20,42,13
18,21,46,15
18,22,48,15
18,23,48,15
18,24,67,17
18,25,67,18
18,26,65,18
18,27,65,17
18,28,65,18
18,29,67,19
18,30,71,20
18,31,71,21
18,32,71,21
18,33,73,22
18,34,101,25
18,35,111,26
19,1,12,2
19,2,12,2
19,3,14,3
19,4,16,4
19,5,18,5
19,6,16,4
19,7,16,4
19,8,33,6
19,9,37,8
19,10,39,9
19,11,37,7
19,12,37,5
19,13,20,6
19,14,22,7
19,15,24,8
19,16,26,9
19,17,30,11
19,18,47,13
19,19,49,13
19,20,45,11
19,21,41,10
19,22,43,11
19,23,43,10
19,24,41,10
19,25,41,9
19,26,26,8
19,27,26,8
19,28,24,7
19,29,22,7
19,30,24,7
19,31,37,7
19,32,39,7
19,33,37,8
19,34,39,8
19,35,39,7
19,36,24,5
19,37,20,5
19,38,20,5
19,39,0,3
20,1,14,3
20,2,18,5
20,3,18,5
20,4,20,6
20,5,20,6
20,6,20,6
20,7,20,6
20,8,20,6
20,9,18,5
20,10,16,4
20,11,18,5
20,12,18,5
20,13,20,6
20,14,22,6
20,15,20,5
20,16,20,5
20,17,18,5
20,18,18,5
20,19,18,5
20,20,18,4
20,21,18,5
20,22,18,5
20,23,18,5
20,24,18,5
20,25,20,6
20,26,20,6
20,27,20,6
20,28,35,7
20,29,35,7
20,30,35,7
20,31,35,6
20,32,22,6
20,33,20,5
20,34,20,5
20,35,20,6
20,36,22,7
20,37,34,7
20,38,30,6
20,39,0,4
20,40,0,5
20,41,0,7
20,42,0,9
20,43,0,9
20,44,0,9
20,45,0,9
20,46,0,9
20,47,0,9
