game,round,num_iterations,time_taken,value
1,1,100,5.96,0.037747109159827236
1,2,100,4.83,0.03834477137774229
1,3,100,1.42,0.038638888262212276
1,4,100,0.91,0.03939883008599281
1,5,100,7.28,0.03895573899149895
1,6,100,1.8,0.03991712309420109
1,7,100,3.38,0.039404621943831444
1,8,100,2.41,0.0404444295167923
1,9,100,3.8,0.04037836603820324
1,10,100,8.12,0.039192567206919195
1,11,100,5.06,0.04032288901507854
1,12,100,2.98,0.04202866032719612
1,13,100,4.94,0.04079531479626894
1,14,100,7.75,0.04144569203257561
1,15,100,6.11,0.04368805233389139
1,16,100,5.15,0.04316891424357891
1,17,100,1.94,0.04259908828884363
1,18,100,2.3,0.04898507811129093
1,19,100,1.31,0.04267245728522539
1,20,100,0.24,0.04268225282430649
2,1,100,5.32,-0.0874572828412056
2,2,100,5.87,-0.08742717176675796
2,3,100,6.19,-0.08988841623067856
2,4,100,7.47,-0.09079593539237976
2,5,100,5.03,-0.08910982996225357
2,6,100,1.98,-0.08591681264340878
2,7,100,1.29,-0.09086902052164078
2,8,100,1.41,-0.08755865670740605
2,9,100,1.67,-0.0866308917850256
2,10,100,1.17,-0.08713974952697753
2,11,100,2.89,-0.08867060109972953
2,12,100,11.36,-0.08718357816338539
2,13,100,7.09,-0.08916572637856007
2,14,100,11.87,-0.08468557342886925
2,15,100,4.98,-0.0944929102063179
2,16,100,3.66,-0.08539772540330887
2,17,100,4.36,-0.08873479843139648
3,1,100,5.77,0.03809518273919821
3,2,100,2.94,0.04729204855859279
3,3,100,2.56,0.05271554335951805
3,4,100,1.23,0.04759398341178894
3,5,100,2.53,0.03726378247141838
3,6,100,4.17,0.04047558542340994
3,7,100,2.25,0.04798255328088999
3,8,100,9.41,0.056017502322793004
3,9,100,16.44,0.047477368861436844
3,10,100,8.63,0.044066128768026826
3,11,100,1.96,0.041435920633375645
3,12,100,2.48,0.03303593682125211
3,13,100,2.46,0.03228308774530888
3,14,100,4.08,0.04251271080225706
3,15,100,11.91,0.03391028640791774
3,16,100,10.84,0.03963849451392889
3,17,100,8.88,0.04359364178031683
3,18,100,6.0,0.04769670519977808
3,19,100,6.51,0.036010809130966666
3,20,100,9.77,0.03150321232154965
3,21,100,9.47,0.04739108916372061
3,22,100,13.53,0.0417195488139987
3,23,100,10.32,0.04233860213309527
3,24,100,10.51,0.03947909414768219
3,25,100,9.05,0.027893429659307002
3,26,100,11.75,0.04149669639766216
3,27,100,12.07,0.04374135553836823
3,28,100,11.81,0.04832986559718847
3,29,100,10.32,0.04624933641403914
3,30,100,3.57,0.04809307724237442
3,31,100,13.75,0.03678903263062239
3,32,100,0.73,0.0337226296775043
4,1,100,5.02,0.07015562906861306
4,2,100,1.26,0.07059579759836197
4,3,100,2.22,0.06767155691981315
4,4,100,2.99,0.06868242643773556
4,5,100,3.82,0.06891119800508022
4,6,100,2.01,0.06954515315592288
4,7,100,4.43,0.06911886423826218
4,8,100,10.55,0.07104655571281909
4,9,100,7.98,0.07664388418197632
4,10,100,6.66,0.073382478505373
4,11,100,2.79,0.0668005646020174
4,12,100,0.75,0.06589351557195186
4,13,100,6.65,0.06815105319023132
4,14,100,7.9,0.06631819285452366
4,15,100,11.06,0.07109245054423809
4,16,100,8.94,0.06744589798152446
4,17,100,12.4,0.07512838967144489
4,18,100,11.12,0.08195899955928326
4,19,100,13.14,0.08069388918578625
4,20,100,11.89,0.0758066776394844
4,21,100,11.34,0.07765656590461731
4,22,100,11.07,0.08340381190180779
4,23,100,13.03,0.08198532819747925
4,24,100,1.31,0.07248147755861283
4,25,100,2.05,0.08325325384736061
4,26,100,0.83,0.08523623615503312
4,27,100,1.85,0.0862502808123827
4,28,100,0.74,0.0880181673169136
4,29,100,0.14,0.08299678564071655
4,30,100,0.88,0.08940277650952339
4,31,100,3.69,0.08445679984986781
4,32,100,1.83,0.11919589459896088
4,33,100,4.39,0.09725968912243843
4,34,100,2.67,0.08532953925430775
4,35,100,1.09,0.1038338515907526
5,1,100,5.44,0.04053455077111721
5,2,100,2.92,0.03903782516717911
5,3,100,1.32,0.03299560811370611
5,4,100,6.29,0.036108459457755086
5,5,100,3.18,0.033551801778376106
5,6,100,6.55,0.035375578179955486
5,7,100,4.56,0.03390908170491457
5,8,100,37.34,0.03739954229444265
5,9,100,9.77,0.03551860563457012
5,10,100,9.55,0.035019334107637405
5,11,100,2.28,0.0358899575471878
5,12,100,9.99,0.033416688162833455
5,13,100,7.66,0.040715515799820426
5,14,100,3.05,0.037653714194893835
5,15,100,3.59,0.037705547362566
5,16,100,5.27,0.0353182102739811
5,17,100,3.28,0.03361691251397133
5,18,100,2.16,0.03369995165616274
5,19,100,7.31,0.03457282293587923
5,20,100,4.57,0.03532726835459471
5,21,100,14.7,0.028783949110656976
5,22,100,11.86,0.037288921885192394
5,23,100,5.86,0.035824936199933294
5,24,100,3.77,0.031196076944470404
5,25,100,0.81,0.03329894099384546
5,26,100,1.2,0.03356733970344067
5,27,100,13.18,0.0372318085283041
5,28,100,6.87,0.03374971069395542
5,29,100,2.42,0.04030166167765856
5,30,100,3.46,0.03126531096175313
5,31,100,5.72,0.030752681642770768
5,32,100,7.3,0.0345356135815382
5,33,100,6.61,0.03572661601006985
5,34,100,2.89,0.03070169446989894
5,35,100,3.04,0.04087475351989269
5,36,100,0.45,0.037580039352178574
6,1,100,4.28,0.05400098975747824
6,2,100,1.46,0.053931196592748164
6,3,100,3.48,0.047746623679995534
6,4,100,3.94,0.046565798223018644
6,5,100,5.58,0.048906111307442185
6,6,100,4.96,0.05722732815891504
6,7,100,6.07,0.053603408001363276
6,8,100,1.68,0.056913115940988065
6,9,100,34.13,0.0563172073289752
6,10,100,2.95,0.05562892835587263
6,11,100,9.12,0.054083924591541294
6,12,100,8.08,0.0498965435102582
6,13,100,8.02,0.05421062711626291
6,14,100,11.24,0.05593589909374714
