game,port,player
396,5001,Italians
397,5001,Italians
397,5003,Chinese
397,5000,Russians
397,5002,Germans
398,5000,Russians
398,5002,Germans
398,5001,Italians
398,5003,Chinese
399,5002,Germans
399,5000,Russians
399,5003,Chinese
399,5001,Italians
400,5003,Chinese
400,5000,Russians
400,5001,Italians
400,5002,Germans
401,5002,Germans
401,5003,Chinese
401,5000,Russians
401,5001,Italians
402,5002,Germans
402,5000,Russians
402,5001,Italians
402,5003,Chinese
403,5001,Italians
403,5000,Russians
403,5002,Germans
403,5003,Chinese
404,5001,Italians
404,5000,Russians
404,5003,Chinese
404,5002,Germans
405,5000,Russians
405,5001,Italians
405,5003,Chinese
405,5002,Germans
406,5002,Germans
406,5003,Chinese
406,5001,Italians
406,5000,Russians
407,5000,Russians
407,5001,Italians
407,5002,Germans
407,5003,Chinese
408,5002,Germans
408,5000,Russians
408,5001,Italians
408,5003,Chinese
409,5001,Italians
409,5002,Germans
409,5000,Russians
409,5003,Chinese
410,5000,Russians
410,5002,Germans
410,5001,Italians
410,5003,Chinese
411,5001,Italians
411,5003,Chinese
411,5002,Germans
411,5000,Russians
412,5003,Chinese
412,5000,Russians
412,5002,Germans
412,5001,Italians
413,5003,Chinese
413,5000,Russians
413,5002,Germans
413,5001,Italians
414,5002,Germans
414,5001,Italians
414,5000,Russians
414,5003,Chinese
415,5001,Italians
415,5003,Chinese
415,5000,Russians
415,5002,Germans
416,5002,Germans
416,5000,Russians
416,5001,Italians
416,5003,Chinese
417,5002,Germans
417,5003,Chinese
417,5001,Italians
417,5000,Russians
418,5000,Russians
418,5002,Germans
418,5003,Chinese
418,5001,Italians
419,5000,Russians
419,5001,Italians
419,5003,Chinese
419,5002,Germans
420,5003,Chinese
420,5002,Germans
420,5000,Russians
420,5001,Italians
421,5002,Germans
421,5003,Chinese
421,5001,Italians
421,5000,Russians
422,5002,Germans
422,5003,Chinese
422,5000,Russians
422,5001,Italians
423,5002,Germans
423,5000,Russians
423,5001,Italians
423,5003,Chinese
424,5001,Italians
424,5000,Russians
424,5002,Germans
424,5003,Chinese
425,5001,Italians
425,5003,Chinese
425,5000,Russians
425,5002,Germans
426,5000,Russians
426,5001,Italians
426,5002,Germans
426,5003,Chinese
427,5003,Chinese
427,5000,Russians
427,5002,Germans
427,5001,Italians
428,5001,Italians
428,5000,Russians
