game,port,player
247,5003,Chinese
247,5002,Germans
248,5003,Chinese
248,5002,Germans
248,5000,Russians
248,5001,Italians
249,5003,Chinese
249,5001,Italians
249,5002,Germans
249,5000,Russians
250,5000,Russians
250,5001,Italians
250,5002,Germans
250,5003,Chinese
251,5002,Germans
251,5003,Chinese
251,5001,Italians
251,5000,Russians
252,5000,Russians
252,5002,Germans
252,5003,Chinese
252,5001,Italians
253,5000,Russians
253,5001,Italians
253,5002,Germans
253,5003,Chinese
254,5000,Russians
254,5002,Germans
254,5001,Italians
254,5003,Chinese
255,5001,Italians
255,5002,Germans
255,5000,Russians
255,5003,Chinese
256,5002,Germans
256,5000,Russians
256,5001,Italians
256,5003,Chinese
257,5002,Germans
257,5003,Chinese
257,5000,Russians
257,5001,Italians
258,5003,Chinese
258,5002,Germans
258,5001,Italians
258,5000,Russians
259,5002,Germans
259,5003,Chinese
259,5000,Russians
259,5001,Italians
260,5002,Germans
260,5003,Chinese
260,5000,Russians
260,5001,Italians
261,5003,Chinese
261,5002,Germans
261,5000,Russians
261,5001,Italians
262,5001,Italians
262,5000,Russians
262,5002,Germans
262,5003,Chinese
263,5001,Italians
263,5002,Germans
263,5003,Chinese
263,5000,Russians
264,5003,Chinese
264,5001,Italians
264,5002,Germans
264,5000,Russians
265,5001,Italians
265,5003,Chinese
265,5002,Germans
265,5000,Russians
266,5003,Chinese
266,5001,Italians
266,5000,Russians
266,5002,Germans
267,5001,Italians
267,5002,Germans
267,5003,Chinese
267,5000,Russians
268,5003,Chinese
268,5002,Germans
268,5000,Russians
268,5001,Italians
269,5003,Chinese
269,5002,Germans
269,5001,Italians
269,5000,Russians
270,5000,Russians
270,5003,Chinese
270,5002,Germans
270,5001,Italians
271,5002,Germans
271,5001,Italians
271,5000,Russians
271,5003,Chinese
272,5001,Italians
272,5003,Chinese
272,5000,Russians
272,5002,Germans
273,5001,Italians
273,5000,Russians
273,5003,Chinese
273,5002,Germans
274,5002,Germans
274,5001,Italians
