game,round,iteration,depth,current_player,terr_attacked_in_round (actions taken)
1,1,1,0,Russians,2
1,1,1,0,Italians,2
1,1,1,0,Germans,3
1,1,1,0,Chinese,3
1,1,1,1,Russians,2
1,1,1,1,Italians,3
1,1,1,1,Germans,3
1,1,1,1,Chinese,3
1,1,2,0,Russians,2
1,1,2,0,Italians,3
1,1,2,0,Germans,3
1,1,2,0,Chinese,2
1,1,2,1,Russians,2
1,1,2,1,Italians,3
1,1,2,1,Germans,3
1,1,2,1,Chinese,3
1,1,3,0,Russians,2
1,1,3,0,Italians,3
1,1,3,0,Germans,3
1,1,3,0,Chinese,3
1,1,3,1,Russians,2
1,1,3,1,Italians,3
1,1,3,1,Germans,3
1,1,3,1,Chinese,3
1,1,4,0,Russians,2
1,1,4,0,Italians,3
1,1,4,0,Germans,3
1,1,4,0,Chinese,3
1,1,4,1,Russians,2
1,1,4,1,Italians,3
1,1,4,1,Germans,3
1,1,4,1,Chinese,3
1,1,5,0,Russians,2
1,1,5,0,Italians,2
1,1,5,0,Germans,3
1,1,5,0,Chinese,3
1,1,5,1,Russians,2
1,1,5,1,Italians,3
1,1,5,1,Germans,3
1,1,5,1,Chinese,3
1,1,6,0,Russians,2
1,1,6,0,Italians,2
1,1,6,0,Germans,3
1,1,6,0,Chinese,3
1,1,6,1,Russians,2
1,1,6,1,Italians,2
1,1,6,1,Germans,3
1,1,6,1,Chinese,3
1,1,7,0,Russians,2
1,1,7,0,Italians,3
1,1,7,0,Germans,3
1,1,7,0,Chinese,3
1,1,7,1,Russians,2
1,1,7,1,Italians,3
1,1,7,1,Germans,2
1,1,7,1,Chinese,2
1,1,8,0,Russians,2
1,1,8,0,Italians,3
1,1,8,0,Germans,3
1,1,8,0,Chinese,3
1,1,8,1,Russians,2
1,1,8,1,Italians,3
1,1,8,1,Germans,3
1,1,8,1,Chinese,2
1,1,9,0,Russians,2
1,1,9,0,Italians,2
1,1,9,0,Germans,3
1,1,9,0,Chinese,2
1,1,9,1,Russians,2
1,1,9,1,Italians,3
1,1,9,1,Germans,3
1,1,9,1,Chinese,2
1,1,10,0,Russians,2
1,1,10,0,Italians,3
1,1,10,0,Germans,3
1,1,10,0,Chinese,3
1,1,10,1,Russians,3
1,1,10,1,Italians,2
1,1,10,1,Germans,3
1,1,10,1,Chinese,3
1,1,11,0,Russians,2
1,1,11,0,Italians,3
1,1,11,0,Germans,3
1,1,11,0,Chinese,2
1,1,11,1,Russians,2
1,1,11,1,Italians,3
1,1,11,1,Germans,3
1,1,11,1,Chinese,3
1,1,12,0,Russians,2
1,1,12,0,Italians,2
1,1,12,0,Germans,3
1,1,12,0,Chinese,3
1,1,12,1,Russians,3
1,1,12,1,Italians,3
1,1,12,1,Germans,3
1,1,12,1,Chinese,3
1,1,13,0,Russians,2
1,1,13,0,Italians,2
1,1,13,0,Germans,2
1,1,13,0,Chinese,2
1,1,13,1,Russians,2
1,1,13,1,Italians,3
1,1,13,1,Germans,2
1,1,13,1,Chinese,3
1,1,14,0,Russians,2
1,1,14,0,Italians,3
1,1,14,0,Germans,3
1,1,14,0,Chinese,3
1,1,14,1,Russians,2
1,1,14,1,Italians,2
1,1,14,1,Germans,3
1,1,14,1,Chinese,3
1,1,15,0,Russians,2
1,1,15,0,Italians,3
1,1,15,0,Germans,3
1,1,15,0,Chinese,3
1,1,15,1,Russians,2
1,1,15,1,Italians,2
1,1,15,1,Germans,3
1,1,15,1,Chinese,3
1,1,16,0,Russians,2
1,1,16,0,Italians,3
1,1,16,0,Germans,2
1,1,16,0,Chinese,3
1,1,16,1,Russians,3
1,1,16,1,Italians,3
1,1,16,1,Germans,3
1,1,16,1,Chinese,3
1,1,17,0,Russians,3
1,1,17,0,Italians,3
1,1,17,0,Germans,3
1,1,17,0,Chinese,3
1,1,17,1,Russians,2
1,1,17,1,Italians,3
1,1,17,1,Germans,3
1,1,17,1,Chinese,3
1,1,18,0,Russians,2
1,1,18,0,Italians,3
1,1,18,0,Germans,3
1,1,18,0,Chinese,3
1,1,18,1,Russians,2
1,1,18,1,Italians,3
1,1,18,1,Germans,2
1,1,18,1,Chinese,3
1,1,19,0,Russians,3
1,1,19,0,Italians,2
1,1,19,0,Germans,3
1,1,19,0,Chinese,2
1,1,19,1,Russians,2
1,1,19,1,Italians,2
1,1,19,1,Germans,3
1,1,19,1,Chinese,3
1,1,20,0,Russians,3
1,1,20,0,Italians,3
1,1,20,0,Germans,3
1,1,20,0,Chinese,3
1,1,20,1,Russians,2
1,1,20,1,Italians,3
1,1,20,1,Germans,3
1,1,20,1,Chinese,3
1,1,21,0,Russians,3
1,1,21,0,Italians,2
1,1,21,0,Germans,2
1,1,21,0,Chinese,3
1,1,21,1,Russians,3
1,1,21,1,Italians,2
1,1,21,1,Germans,3
1,1,21,1,Chinese,2
1,1,22,0,Russians,3
1,1,22,0,Italians,3
1,1,22,0,Germans,3
1,1,22,0,Chinese,2
1,1,22,1,Russians,3
1,1,22,1,Italians,3
1,1,22,1,Germans,3
1,1,22,1,Chinese,3
1,1,23,0,Russians,3
1,1,23,0,Italians,3
1,1,23,0,Germans,3
1,1,23,0,Chinese,3
1,1,23,1,Russians,2
1,1,23,1,Italians,2
1,1,23,1,Germans,3
1,1,23,1,Chinese,3
1,1,24,0,Russians,2
1,1,24,0,Italians,3
1,1,24,0,Germans,2
1,1,24,0,Chinese,3
1,1,24,1,Russians,2
1,1,24,1,Italians,2
1,1,24,1,Germans,2
1,1,24,1,Chinese,3
1,1,25,0,Russians,3
1,1,25,0,Italians,2
1,1,25,0,Germans,3
1,1,25,0,Chinese,3
1,1,25,1,Russians,2
1,1,25,1,Italians,2
1,1,25,1,Germans,3
1,1,25,1,Chinese,3
1,1,26,0,Russians,3
1,1,26,0,Italians,3
1,1,26,0,Germans,3
1,1,26,0,Chinese,3
1,1,26,1,Russians,2
1,1,26,1,Italians,3
1,1,26,1,Germans,3
1,1,26,1,Chinese,3
1,1,27,0,Russians,3
1,1,27,0,Italians,3
1,1,27,0,Germans,2
1,1,27,0,Chinese,3
1,1,27,1,Russians,2
1,1,27,1,Italians,2
1,1,27,1,Germans,3
1,1,27,1,Chinese,3
1,1,28,0,Russians,2
1,1,28,0,Italians,3
1,1,28,0,Germans,3
1,1,28,0,Chinese,3
1,1,28,1,Russians,2
1,1,28,1,Italians,3
1,1,28,1,Germans,3
1,1,28,1,Chinese,3
1,1,29,0,Russians,3
1,1,29,0,Italians,3
1,1,29,0,Germans,2
1,1,29,0,Chinese,3
1,1,29,1,Russians,3
1,1,29,1,Italians,2
1,1,29,1,Germans,3
1,1,29,1,Chinese,3
1,1,30,0,Russians,3
1,1,30,0,Italians,3
1,1,30,0,Germans,3
1,1,30,0,Chinese,3
1,1,30,1,Russians,2
1,1,30,1,Italians,2
1,1,30,1,Germans,2
1,1,30,1,Chinese,3
1,1,31,0,Russians,2
1,1,31,0,Italians,3
1,1,31,0,Germans,3
1,1,31,0,Chinese,2
1,1,31,1,Russians,2
1,1,31,1,Italians,2
1,1,31,1,Germans,3
1,1,31,1,Chinese,2
1,1,32,0,Russians,3
1,1,32,0,Italians,3
1,1,32,0,Germans,3
1,1,32,0,Chinese,2
1,1,32,1,Russians,2
1,1,32,1,Italians,3
1,1,32,1,Germans,3
1,1,32,1,Chinese,3
1,1,33,0,Russians,2
1,1,33,0,Italians,2
1,1,33,0,Germans,3
1,1,33,0,Chinese,2
1,1,33,1,Russians,2
1,1,33,1,Italians,2
1,1,33,1,Germans,2
1,1,33,1,Chinese,2
1,1,34,0,Russians,3
1,1,34,0,Italians,3
1,1,34,0,Germans,3
1,1,34,0,Chinese,2
1,1,34,1,Russians,2
1,1,34,1,Italians,2
1,1,34,1,Germans,3
1,1,34,1,Chinese,3
1,1,35,0,Russians,3
1,1,35,0,Italians,3
1,1,35,0,Germans,3
1,1,35,0,Chinese,3
1,1,35,1,Russians,3
1,1,35,1,Italians,2
1,1,35,1,Germans,3
1,1,35,1,Chinese,3
1,1,36,0,Russians,3
1,1,36,0,Italians,3
1,1,36,0,Germans,3
1,1,36,0,Chinese,3
1,1,36,1,Russians,2
1,1,36,1,Italians,3
1,1,36,1,Germans,2
1,1,36,1,Chinese,3
1,1,37,0,Russians,2
1,1,37,0,Italians,3
1,1,37,0,Germans,3
1,1,37,0,Chinese,2
1,1,37,1,Russians,2
1,1,37,1,Italians,3
1,1,37,1,Germans,3
1,1,37,1,Chinese,3
1,1,38,0,Russians,3
1,1,38,0,Italians,3
1,1,38,0,Germans,3
1,1,38,0,Chinese,3
1,1,38,1,Russians,2
1,1,38,1,Italians,2
1,1,38,1,Germans,2
1,1,38,1,Chinese,3
1,1,39,0,Russians,2
1,1,39,0,Italians,2
1,1,39,0,Germans,3
1,1,39,0,Chinese,3
1,1,39,1,Russians,3
1,1,39,1,Italians,3
1,1,39,1,Germans,3
1,1,39,1,Chinese,3
1,1,40,0,Russians,3
1,1,40,0,Italians,3
1,1,40,0,Germans,3
1,1,40,0,Chinese,2
1,1,40,1,Russians,2
1,1,40,1,Italians,2
1,1,40,1,Germans,2
1,1,40,1,Chinese,2
1,1,41,0,Russians,2
1,1,41,0,Italians,2
1,1,41,0,Germans,3
1,1,41,0,Chinese,2
1,1,41,1,Russians,2
1,1,41,1,Italians,3
1,1,41,1,Germans,3
1,1,41,1,Chinese,2
1,1,42,0,Russians,2
1,1,42,0,Italians,3
1,1,42,0,Germans,3
1,1,42,0,Chinese,3
1,1,42,1,Russians,2
1,1,42,1,Italians,3
1,1,42,1,Germans,3
1,1,42,1,Chinese,3
1,1,43,0,Russians,2
1,1,43,0,Italians,3
1,1,43,0,Germans,2
1,1,43,0,Chinese,3
1,1,43,1,Russians,2
1,1,43,1,Italians,3
1,1,43,1,Germans,3
1,1,43,1,Chinese,3
1,1,44,0,Russians,2
1,1,44,0,Italians,3
1,1,44,0,Germans,3
1,1,44,0,Chinese,3
1,1,44,1,Russians,2
1,1,44,1,Italians,2
1,1,44,1,Germans,2
1,1,44,1,Chinese,3
1,1,45,0,Russians,2
1,1,45,0,Italians,3
1,1,45,0,Germans,3
1,1,45,0,Chinese,3
1,1,45,1,Russians,2
1,1,45,1,Italians,3
1,1,45,1,Germans,3
1,1,45,1,Chinese,3
1,1,46,0,Russians,3
1,1,46,0,Italians,2
1,1,46,0,Germans,3
1,1,46,0,Chinese,2
1,1,46,1,Russians,2
1,1,46,1,Italians,3
1,1,46,1,Germans,3
1,1,46,1,Chinese,3
1,1,47,0,Russians,2
1,1,47,0,Italians,3
1,1,47,0,Germans,3
1,1,47,0,Chinese,3
1,1,47,1,Russians,2
1,1,47,1,Italians,2
1,1,47,1,Germans,2
1,1,47,1,Chinese,3
1,1,48,0,Russians,2
1,1,48,0,Italians,2
1,1,48,0,Germans,2
1,1,48,0,Chinese,3
1,1,48,1,Russians,2
1,1,48,1,Italians,3
1,1,48,1,Germans,3
1,1,48,1,Chinese,3
1,1,49,0,Russians,3
1,1,49,0,Italians,2
1,1,49,0,Germans,2
1,1,49,0,Chinese,3
1,1,49,1,Russians,3
1,1,49,1,Italians,3
1,1,49,1,Germans,3
1,1,49,1,Chinese,3
1,1,50,0,Russians,3
1,1,50,0,Italians,3
1,1,50,0,Germans,3
1,1,50,0,Chinese,2
1,1,50,1,Russians,2
1,1,50,1,Italians,3
1,1,50,1,Germans,3
1,1,50,1,Chinese,2
1,1,51,0,Russians,2
1,1,51,0,Italians,3
1,1,51,0,Germans,2
1,1,51,0,Chinese,2
1,1,51,1,Russians,2
1,1,51,1,Italians,3
1,1,51,1,Germans,3
1,1,51,1,Chinese,3
1,1,52,0,Russians,3
