game,round,num_iterations,time_taken,value
1,1,100,6.66,0.02563142394647002
1,2,100,7.52,0.024679889716207982
1,3,100,8.99,0.02436142656952143
1,4,100,8.75,0.02495878478512168
1,5,100,6.76,0.02356091594323516
1,6,100,11.73,0.026377729810774325
1,7,100,9.34,0.027109281830489634
1,8,100,6.81,0.028076626397669315
1,9,100,3.01,0.024831803422421216
1,10,100,1.81,0.025129276886582376
1,11,100,3.75,0.0231942630186677
1,12,100,3.86,0.028298509325832128
1,13,100,4.01,0.025940351262688635
1,14,100,10.17,0.026756210029125215
1,15,100,9.27,0.028102967832237483
1,16,100,5.25,0.025511240977793934
1,17,100,3.3,0.025564018823206424
1,18,100,9.16,0.023640134390443563
1,19,100,8.06,0.02498539049178362
1,20,100,3.84,0.0251005370169878
1,21,100,1.51,0.024970206469297408
1,22,100,0.21,0.02669333666563034
1,23,100,2.27,0.026493545919656754
1,24,100,0.28,0.026147282980382443
1,25,100,0.29,0.028483021575957536
1,26,100,0.86,0.028848269134759904
1,27,100,0.34,0.027969745546579362
1,28,100,0.2,0.028259271755814552
2,1,100,4.68,0.07295038431882858
2,2,100,4.59,0.06786337971687317
2,3,100,4.26,0.06637787565588951
2,4,100,4.24,0.06740461558103561
2,5,100,8.74,0.06452480018138886
2,6,100,5.1,0.06832545019686222
2,7,100,5.81,0.07458094835281372
2,8,100,3.58,0.06963688760995865
2,9,100,3.13,0.06347584832459688
2,10,100,1.96,0.056853792481124404
2,11,100,10.1,0.06108521245419979
2,12,100,4.24,0.05344354063272476
2,13,100,4.5,0.0522366126999259
2,14,100,9.59,0.05505550388246774
2,15,100,7.81,0.046313269436359404
2,16,100,9.88,0.03952007327228785
2,17,100,11.55,0.03888422951102257
2,18,100,8.24,0.04899669338017702
2,19,100,1.56,0.07099968358874321
2,20,100,9.54,0.0687014551460743
2,21,100,13.06,0.07378452070057392
2,22,100,11.53,0.07775212198495865
2,23,100,13.99,0.07560658872127533
2,24,100,13.49,0.08104378551244736
2,25,100,12.98,0.06835765562951565
2,26,100,10.05,0.0603975073620677
2,27,100,11.59,0.06463508646935225
2,28,100,12.34,0.06306462123990059
2,29,100,5.21,0.05387336302548647
2,30,100,14.59,0.07132211409509182
2,31,100,13.72,0.07177237451076507
2,32,100,12.66,0.06425180070102215
2,33,100,3.42,0.05390666637569666
2,34,100,6.57,0.050887179486453535
2,35,100,5.16,0.04172960765659809
2,36,100,10.41,0.04998905800282955
2,37,100,3.63,0.06584081120789051
2,38,100,0.35,0.06801267489790916
3,1,100,5.24,0.07536928370594978
3,2,100,3.57,0.07720689572393895
3,3,100,2.53,0.07738005340099335
3,4,100,2.16,0.07654207482933999
3,5,100,3.92,0.07759243734180928
3,6,100,6.33,0.07516395039856434
3,7,100,1.65,0.07522940725088119
3,8,100,1.65,0.07709354437887668
3,9,100,15.21,0.0754553884267807
3,10,100,1.18,0.08451809734106064
3,11,100,1.94,0.07861150592565537
3,12,100,7.93,0.08325333386659622
3,13,100,2.12,0.07871806889772415
3,14,100,2.14,0.07466562576591969
3,15,100,2.88,0.0799360904097557
3,16,100,2.22,0.07584126189351081
3,17,100,3.38,0.07557032451033592
3,18,100,7.66,0.08046930409967899
3,19,100,3.69,0.07970086500048637
3,20,100,5.29,0.07971657857298851
3,21,100,2.99,0.0730544888973236
3,22,100,8.7,0.08240168519318104
3,23,100,1.13,0.07980592250823974
3,24,100,6.05,0.07464745625853539
3,25,100,10.98,0.07682782314717769
3,26,100,9.08,0.07708952024579048
3,27,100,4.24,0.0776221739500761
3,28,100,4.7,0.07441351510584354
3,29,100,4.05,0.07730302572250367
3,30,100,11.14,0.0762284518778324
3,31,100,4.73,0.07729919254779816
4,1,100,3.22,-0.0042863821145147085
4,2,100,3.1,-0.003940938021987677
4,3,100,2.6,-0.002544509710278362
4,4,100,2.25,-0.005754387369379401
4,5,100,4.22,-0.0027741074154619128
4,6,100,9.09,0.0024677283107303084
4,7,100,2.62,-0.0013831525784917175
4,8,100,2.67,-0.004216466452926397
4,9,100,10.37,-0.005821848933119327
4,10,100,1.94,-0.00923365935217589
4,11,100,7.75,-0.002891943616559729
4,12,100,0.82,0.002323002895573154
4,13,100,0.68,-0.004745628875680268
4,14,100,3.78,-0.008513641050085426
4,15,100,6.96,-0.0034195826074574142
4,16,100,7.19,-0.0072597901104018096
4,17,100,4.13,-0.0030590695585124197
4,18,100,2.19,-0.0030672650772612543
4,19,100,2.71,-0.00256193578010425
4,20,100,1.27,-0.003668868178501725
4,21,100,9.07,0.000990993581363
4,22,100,1.71,0.00410694360267371
4,23,100,3.99,0.008729629795998334
4,24,100,0.55,0.01195468144491315
4,25,100,2.52,-0.00045337111107073724
4,26,100,3.57,0.01683700054883957
4,27,100,1.36,-0.005453034602105618
4,28,100,0.96,0.01839388346299529
4,29,100,2.24,-0.008158217817544937
4,30,100,3.92,0.024182413462549446
4,31,100,0.97,0.009490705011412501
4,32,100,0.91,0.012598154433071614
4,33,100,3.29,-0.006762286322191358
4,34,100,2.78,0.0038780022878199816
5,1,100,3.96,-0.06152090363204479
5,2,100,5.61,-0.06226811371743679
5,3,100,5.46,-0.06163566410541534
5,4,100,4.93,-0.061676227562129496
5,5,100,9.56,-0.05930967014282942
5,6,100,8.6,-0.0642725545167923
5,7,100,9.37,-0.06304275553673505
5,8,100,11.55,-0.06198920093476772
5,9,100,3.23,-0.061090022698044776
5,10,100,4.02,-0.05991300467401743
5,11,100,1.64,-0.062224610075354576
5,12,100,9.52,-0.0634162375330925
5,13,100,11.8,-0.06075990878045559
5,14,100,8.57,-0.06313353937119245
5,15,100,7.73,-0.06702972747385502
5,16,100,1.8,-0.0644938961416483
5,17,100,2.85,-0.0675894957780838
5,18,100,6.1,-0.06767861917614937
5,19,100,0.76,-0.06475867629051209
5,20,100,8.11,-0.0629148755222559
5,21,100,0.85,-0.060426914766430855
6,1,100,4.2,0.05344636391848326
6,2,100,2.14,0.054294971115887165
6,3,100,6.56,0.05415541537106037
6,4,100,6.63,0.05425835322588682
6,5,100,6.61,0.05549433778971433
6,6,100,3.53,0.05460760496556759
6,7,100,1.34,0.05279110580682755
6,8,100,2.21,0.05189653374254703
6,9,100,1.56,0.052721078507602215
6,10,100,4.22,0.05232330411672592
6,11,100,11.76,0.05675146348774433
6,12,100,7.58,0.055305758900940416
6,13,100,12.5,0.05504930559545755
6,14,100,11.23,0.058820445761084555
6,15,100,6.35,0.057049911618232724
6,16,100,9.72,0.05523715768009424
6,17,100,13.01,0.05587528437376022
6,18,100,13.72,0.05453239981085062
6,19,100,9.58,0.05294508393853903
6,20,100,13.49,0.05283671483397484
6,21,100,10.41,0.05575421314686537
6,22,100,10.46,0.05668011404573917
6,23,100,11.06,0.05387141216546297
6,24,100,9.19,0.05478542819619179
6,25,100,11.87,0.056836018562316896
6,26,100,12.95,0.05543413780629635
6,27,100,12.14,0.0556794822961092
6,28,100,10.68,0.05565181463956833
6,29,100,11.73,0.054380442500114444
6,30,100,10.77,0.057035843543708324
6,31,100,13.3,0.054667924046516415
6,32,100,6.89,0.05439250953495502
6,33,100,11.07,0.05486058089882136
6,34,100,13.23,0.05464705228805542
6,35,100,4.81,0.055134550370275974
6,36,100,0.22,0.05498479679226875
7,1,100,4.21,0.134155939668417
7,2,100,3.3,0.1329800997674465
7,3,100,5.07,0.13243475824594497
7,4,100,4.41,0.13369717821478844
7,5,100,0.35,0.13370705932378768
7,6,100,2.15,0.1321209564805031
7,7,100,4.3,0.13202926263213158
7,8,100,10.09,0.13255858093500136
7,9,100,13.57,0.13575876623392105
7,10,100,2.16,0.13656940773129464
7,11,100,1.7,0.1341102683544159
7,12,100,11.52,0.13531848698854446
7,13,100,1.66,0.1318695217370987
7,14,100,0.43,0.13449669182300567
7,15,100,10.71,0.13418688371777535
7,16,100,11.57,0.13416317507624625
7,17,100,10.37,0.13740290969610214
7,18,100,9.12,0.13458578184247016
7,19,100,1.35,0.1322993232309818
7,20,100,4.52,0.13384575486183167
7,21,100,2.24,0.1402323965728283
7,22,100,10.75,0.1402089862525463
7,23,100,10.69,0.13523236498236657
7,24,100,10.09,0.13248664185404777
7,25,100,10.52,0.13269686460494995
7,26,100,3.48,0.13670233517885208
7,27,100,12.23,0.14024501353502272
7,28,100,12.33,0.1365102531015873
7,29,100,14.47,0.1398410201072693
7,30,100,12.7,0.13778206214308739
7,31,100,11.62,0.13757897317409515
7,32,100,5.32,0.13203786090016364
7,33,100,3.45,0.13159048482775687
7,34,100,2.84,0.1317058452963829
7,35,100,1.02,0.13273615434765815
7,36,100,5.74,0.13317074686288832
7,37,100,1.84,0.13749043986201287
7,38,100,0.77,0.13299805521965027
7,39,100,3.99,0.13607632279396056
7,40,100,0.21,0.14274759590625763
8,1,100,4.71,-0.11835283279418946
8,2,100,7.0,-0.12290038868784904
8,3,100,2.47,-0.12206048719584942
8,4,100,3.04,-0.1215726438164711
8,5,100,1.28,-0.12156861901283264
8,6,100,2.59,-0.125201748162508
8,7,100,2.37,-0.12319372519850731
8,8,100,1.47,-0.11774353772401809
8,9,100,4.83,-0.11911010138690471
8,10,100,9.96,-0.12112929038703442
8,11,100,11.74,-0.12273786149919033
8,12,100,3.66,-0.1237696210294962
8,13,100,0.83,-0.12433351173996926
8,14,100,3.29,-0.12468408800661564
8,15,100,1.43,-0.12538633473217486
8,16,100,11.21,-0.122281059846282
8,17,100,12.96,-0.12292631827294827
8,18,100,11.63,-0.12243785731494426
8,19,100,10.0,-0.12192149758338929
8,20,100,4.04,-0.12227983199059964
8,21,100,6.85,-0.12054921366274357
8,22,100,11.51,-0.12158591158688069
8,23,100,7.31,-0.12505983047187327
8,24,100,9.67,-0.12556089915335178
8,25,100,2.22,-0.12162122040987015
8,26,100,5.48,-0.12259335055947304
9,1,100,4.13,0.052981896810233596
9,2,100,2.25,0.04872943572700024
9,3,100,1.55,0.05176071301102638
9,4,100,1.65,0.04883885283023119
9,5,100,3.96,0.047782733552157876
9,6,100,0.97,0.06392953373491764
9,7,100,1.94,0.06196174118667841
9,8,100,1.2,0.05893185805529356
9,9,100,11.61,0.053524626195430754
9,10,100,2.46,0.04367755800485611
9,11,100,0.27,0.046626778319478035
9,12,100,0.92,0.0449822449311614
9,13,100,2.35,0.05975775126367808
9,14,100,3.6,0.056867101825773717
9,15,100,11.38,0.05415272392332554
9,16,100,6.51,0.043315749652683734
9,17,100,9.95,0.03757207237184048
9,18,100,10.24,0.03332547668367624
9,19,100,14.07,0.034102781824767586
9,20,100,11.11,0.04175259564071894
9,21,100,9.04,0.04150615464895964
9,22,100,3.81,0.04115808866918087
9,23,100,6.17,0.03720995739102364
9,24,100,12.75,0.040861753188073634
9,25,100,7.78,0.059248310811817646
9,26,100,10.5,0.05060518611222506
9,27,100,10.43,0.042954948581755165
9,28,100,1.77,0.042185679376125336
9,29,100,3.22,0.03917345799505711
9,30,100,12.23,0.042228696793317796
9,31,100,13.08,0.051192442514002325
9,32,100,12.59,0.04648646842688322
9,33,100,13.38,0.0455761818960309
9,34,100,3.67,0.05066924680024385
9,35,100,13.55,0.04450294703245163
9,36,100,11.26,0.05042123299092054
9,37,100,12.33,0.045376118682324884
9,38,100,13.08,0.04882917556911707
9,39,100,7.28,0.044576985947787764
10,1,100,5.2,-0.021361773516982794
10,2,100,4.4,-0.019931710809469223
10,3,100,7.07,-0.019359047915786506
10,4,100,6.75,-0.018873904440551995
10,5,100,1.08,-0.02226367074996233
10,6,100,1.33,-0.02011555915698409
10,7,100,0.66,-0.01834879716858268
10,8,100,2.71,-0.01694784462451935
10,9,100,1.04,-0.020465320143848657
10,10,100,1.52,-0.01921445583924651
10,11,100,0.9,-0.020458787754178046
10,12,100,0.99,-0.020266966316848992
10,13,100,1.46,-0.01867048127576709
10,14,100,2.16,-0.018959426116198302
10,15,100,0.44,-0.019339459575712682
10,16,100,0.84,-0.02035855459049344
10,17,100,3.19,-0.023685691580176353
10,18,100,3.28,-0.02349682431668043
10,19,100,2.49,-0.02339978367090225
10,20,100,1.48,-0.023753865379840134
10,21,100,1.25,-0.024803087655454872
10,22,100,2.45,-0.027523444816470146
10,23,100,1.35,-0.02031634408980608
10,24,100,1.35,-0.018560706246644257
10,25,100,0.82,-0.017974341530352832
10,26,100,0.7,-0.012758363615721463
10,27,100,3.26,-0.013379654940217733
10,28,100,1.27,-0.022193827591836454
10,29,100,4.58,-0.039335177168250086
10,30,100,1.95,-0.01520708759315312
10,31,100,2.02,-0.012910154503770173
10,32,100,2.33,-0.008038661917671561
10,33,100,15.2,-0.013259248975664377
10,34,100,6.99,-0.019403135012835263
10,35,100,14.43,-0.03778647657483816
10,36,100,14.49,-0.01834439754486084
10,37,100,12.43,-0.020380638130009173
10,38,100,9.67,-0.021588754896074532
10,39,100,12.05,-0.00851823944132775
10,40,100,9.34,-0.01708564761094749
10,41,100,6.68,-0.021929932497441768
10,42,100,9.72,-0.01889265460893512
10,43,100,8.59,-0.02345915973186493
10,44,100,7.54,-0.023036431595683096
10,45,100,12.04,-0.050140797644853595
10,46,100,12.33,-0.05356533937156201
10,47,100,12.93,-0.05685238428413868
10,48,100,12.21,-0.06077047534286976
10,49,100,12.25,-0.06170666094869375
10,50,100,11.31,-0.06114273555576801
10,51,100,10.68,-0.06348462503403425
10,52,100,11.42,-0.06762146160006523
10,53,100,11.91,-0.0725612360984087
10,54,100,8.8,-0.0751260320097208
10,55,100,12.7,-0.07709782280027866
10,56,100,9.34,-0.08466817252337933
10,57,100,11.45,-0.07046064630150795
10,58,100,17.47,-0.08968429923057557
10,59,100,12.54,-0.08747233919799328
10,60,100,12.22,-0.05390610791742802
10,61,100,13.23,-0.005882389165926725
10,62,100,7.5,-0.044989915899932384
10,63,100,9.89,-0.040580952130258086
10,64,100,9.26,-0.03532188337296247
10,65,100,11.62,-0.03608588946983218
10,66,100,11.15,-0.036706280745565895
10,67,100,12.7,-0.0019248429837170988
10,68,100,4.95,-0.09418448865413666
10,69,100,5.51,-0.06320084106177092
10,70,100,4.35,-0.015372140910476445
10,71,100,6.08,-0.006089209388010204
10,72,100,9.73,-0.03456715868785978
10,73,100,6.05,0.007513473518192768
10,74,100,3.04,-0.04939329318702221
10,75,100,4.17,-0.08538211263716221
11,1,100,3.43,0.09280415378510952
11,2,100,6.8,0.09301654420793057
11,3,100,5.07,0.09331611774861813
11,4,100,2.84,0.09303449273109436
