game,round,num_iterations,max_depth,time_taken,num_children,value
1,1,1000,3,3.72,3,0.04085987323522568
1,2,1000,3,2.95,2,0.040860423427075146
1,3,1000,3,3.28,3,0.040861300237476826
1,4,1000,3,2.77,3,0.04086118572577834
1,5,1000,3,2.95,2,0.040860693011432886
1,6,1000,5,6.91,3,0.040860624846071
1,7,1000,4,4.52,3,0.040860891494899985
1,8,1000,4,3.27,4,0.04086065462604165
1,9,1000,4,3.52,6,0.040861366648226975
1,10,1000,4,3.27,5,0.04086196307837963
1,11,1000,4,3.56,1,0.040861486840993166
1,12,1000,6,7.57,3,0.0408616579696536
1,13,890,6,10.0,4,0.04086264924386914
1,14,1000,2,2.92,6,0.04086200412735343
1,15,1000,3,2.86,2,0.04086209312453866
1,16,1000,5,3.98,2,0.04086264399066567
1,17,1000,4,3.58,2,0.04086276751756668
1,18,1000,3,2.87,1,0.040861636392772197
1,19,1000,4,2.93,1,0.04086213478073478
1,20,1000,2,2.83,1,0.04086244622990489
1,21,1000,3,3.18,1,0.040862047851085666
1,22,1000,3,3.38,10,0.04086193326488137
1,23,1000,2,2.89,6,0.04086282290890813
1,24,343,6,10.0,3,0.04086350620270818
1,25,526,5,10.0,3,0.040863796374530394
1,26,966,6,10.0,3,0.040863220994486076
1,27,1000,4,3.78,4,0.04086380597576499
1,28,1000,4,9.5,3,0.0408637165389955
1,29,1000,2,3.24,4,0.04086364272981882
1,30,1000,3,4.43,14,0.04086334294825792
1,31,1000,2,3.2,5,0.040864044580608605
1,32,1000,3,3.28,2,0.0408643517754972
1,33,1000,3,3.16,2,0.040864344611763956
1,34,1000,2,2.68,3,0.040864131037145854
1,35,1000,2,2.69,3,0.0408646656088531
1,36,1000,1,2.58,3,0.04086460819840431
1,37,1000,2,2.76,2,0.040865500822663305
1,38,1000,2,2.79,4,0.04086571661382914
1,39,1000,4,4.84,4,0.040865889839828015
1,40,1000,2,2.73,3,0.04086638476699591
1,41,1000,2,2.77,2,0.040866434056311844
1,42,1000,1,2.5,1,0.04086733236908913
1,43,1000,1,2.57,3,0.04086815907806158
2,1,1000,3,3.67,3,-0.02600512621551752
2,2,1000,3,3.43,3,-0.026004575323313475
2,3,1000,4,3.84,3,-0.026003562036901712
2,4,1000,3,3.49,3,-0.026002649130299687
2,5,1000,3,3.11,2,-0.02600187848880887
2,6,1000,3,4.21,5,-0.02600209380313754
2,7,1000,3,3.48,3,-0.026001413140445948
2,8,1000,3,3.11,2,-0.026001358918845655
2,9,1000,3,2.81,1,-0.026000671349465848
2,10,1000,3,2.77,1,-0.02600119147077203
2,11,1000,3,2.77,1,-0.026001330729573967
2,12,1000,3,3.14,2,-0.02600093714520335
2,13,1000,3,3.14,2,-0.02600091929733753
2,14,1000,3,4.22,5,-0.026000009413808586
2,15,1000,2,2.73,2,-0.026000341828912497
2,16,1000,2,2.74,2,-0.0260011666379869
2,17,1000,4,3.17,2,-0.026001540884375573
2,18,1000,4,6.0,1,-0.026002007994800805
2,19,1000,3,6.26,8,-0.026001678228378296
2,20,1000,3,6.17,8,-0.026002481469884514
2,21,1000,3,6.45,8,-0.02600295628979802
2,22,1000,2,2.94,3,-0.02600333160534501
2,23,1000,2,4.65,13,-0.02600378454476595
2,24,245,4,10.01,4,-0.026003748034032024
2,25,296,3,10.02,23,-0.026003467869265256
2,26,1000,3,3.62,3,-0.02600315223261714
2,27,706,3,10.0,23,-0.02600344641941465
2,28,690,3,10.0,10,-0.02600298840822517
2,29,304,3,10.02,9,-0.026002392399516936
2,30,259,5,10.04,2,-0.02600254463643181
2,31,1000,5,8.91,2,-0.026002517472952603
2,32,425,4,10.01,2,-0.026003096910083994
2,33,1000,3,6.35,9,-0.026003326520323753
2,34,299,4,10.03,3,-0.026003879311192395
2,35,299,4,10.01,2,-0.02600376563377205
2,36,245,3,10.03,5,-0.02600350395149114
2,37,255,4,10.03,12,-0.026003502470021155
2,38,269,4,10.02,5,-0.026003178846104882
2,39,258,4,10.04,4,-0.026002676839860836
2,40,268,5,10.02,3,-0.02600269089105414
2,41,244,4,10.03,5,-0.02600202112473914
2,42,288,5,10.02,4,-0.02600239953284876
2,43,283,5,10.01,3,-0.02600292327020699
2,44,994,5,10.0,2,-0.02600355863841007
2,45,270,7,10.02,1,-0.026002524434416384
2,46,1000,6,7.74,1,-0.026002114161849024
2,47,1000,3,6.26,1,-0.026002817161381246
2,48,256,2,10.01,24,-0.026002530357800424
2,49,331,4,10.03,3,-0.026002690449266997
2,50,302,4,10.01,3,-0.02600229505622229
2,51,261,4,10.02,3,-0.026002674231526954
2,52,1000,3,7.73,10,-0.02600153560563922
2,53,1000,2,6.29,12,-0.026001133654266595
2,54,1000,2,3.96,3,-0.026000185457989572
3,1,1000,3,3.69,3,-0.0506954384483397
3,2,1000,3,3.33,3,-0.050695745058357715
3,3,1000,3,3.08,3,-0.0506956337839365
3,4,1000,3,3.96,2,-0.05069550893455744
3,5,1000,3,5.95,5,-0.05069503689557314
3,6,1000,4,4.6,3,-0.05069461942836642
3,7,1000,3,2.92,1,-0.05069490020349622
3,8,1000,3,3.31,5,-0.05069469036161899
3,9,1000,3,3.08,1,-0.050694330032914875
3,10,1000,3,5.42,3,-0.050694539304822685
3,11,1000,3,5.19,5,-0.050694847580045464
3,12,1000,2,2.98,3,-0.0506948411911726
3,13,1000,2,3.07,4,-0.050694535322487355
3,14,1000,3,3.3,5,-0.050693992961198094
3,15,1000,4,6.12,3,-0.050694425340741874
3,16,1000,3,4.88,3,-0.05069461237639189
3,17,1000,2,3.09,3,-0.05069389291852713
3,18,1000,3,6.33,4,-0.05069379783049226
3,19,668,3,10.0,8,-0.05069444789746386
3,20,1000,3,2.86,1,-0.05069398966431618
3,21,1000,3,2.96,3,-0.05069364607334137
3,22,1000,3,2.97,3,-0.05069338854029775
3,23,1000,3,3.5,3,-0.05069360086321831
4,1,1000,3,3.72,3,-0.0903629582375288
4,2,1000,3,3.03,3,-0.09036267971992493
4,3,1000,3,3.99,3,-0.0903629229143262
4,4,1000,3,3.52,2,-0.09036311434209347
4,5,1000,2,3.26,5,-0.09036299470812083
4,6,1000,2,3.95,7,-0.09036270622164011
4,7,1000,2,3.04,3,-0.09036206229776143
4,8,1000,3,4.51,3,-0.09036384592205286
4,9,1000,3,4.74,2,-0.09036315775662661
4,10,311,4,10.02,8,-0.09036219668637518
4,11,1000,3,7.24,3,-0.09036163163930178
4,12,1000,3,4.0,1,-0.09036144791543484
4,13,1000,3,3.49,2,-0.09036139133572578
4,14,1000,3,2.82,1,-0.0903598750308156
4,15,196,3,10.01,8,-0.09035929250625932
4,16,1000,2,2.65,2,-0.09035883036255836
4,17,1000,2,2.61,2,-0.09035719336569309
4,18,1000,1,2.6,4,-0.09035700155049563
4,19,1000,4,2.76,3,-0.09035665643960238
4,20,1000,1,2.73,7,-0.09035457326471806
4,21,1000,4,7.0,3,-0.09035375656187535
4,22,1000,3,4.43,3,-0.09035450711846352
4,23,1000,6,8.72,3,-0.0903553165718913
4,24,1000,3,3.56,1,-0.0903571024760604
4,25,1000,1,2.58,3,-0.09035376718640327
4,26,1000,1,2.53,2,-0.09035301548987627
4,27,1000,1,2.6,3,-0.09035185981541873
4,28,1000,3,3.63,4,-0.0903515884205699
4,29,1000,3,3.38,2,-0.09035031806677579
4,30,1000,1,2.53,1,-0.09034840017557144
4,31,1000,4,2.78,3,-0.09034828568994999
4,32,1000,1,2.61,4,-0.09034818673878908
5,1,1000,3,3.73,3,-0.009140051055699587
5,2,1000,3,2.98,2,-0.009139566399157048
5,3,1000,2,2.63,2,-0.009138636998832226
5,4,1000,2,2.84,2,-0.009137990383431315
