game,round,num_iterations,time_taken,value
1,1,100,6.78,-0.06999703042209149
1,2,100,2.53,-0.06866848580539227
1,3,100,2.19,-0.06866045117378235
1,4,100,5.78,-0.06773534253239631
1,5,100,4.34,-0.06678353995084763
1,6,100,3.98,-0.0699081052839756
1,7,100,11.39,-0.06961593605577945
1,8,100,10.1,-0.06807577572762966
1,9,100,5.01,-0.06769059561192989
1,10,100,5.27,-0.06722934246063232
1,11,100,11.48,-0.0672022757679224
1,12,100,4.67,-0.07043611615896225
1,13,100,6.45,-0.0693084155023098
1,14,100,10.5,-0.07048791654407978
1,15,100,2.41,-0.07014613695442677
1,16,100,11.15,-0.06803931415081024
1,17,100,12.51,-0.06906232967972756
1,18,100,11.09,-0.07039105452597141
1,19,100,2.24,-0.07167259357869625
1,20,100,2.47,-0.06880323335528374
1,21,100,11.06,-0.0682953031361103
1,22,100,13.49,-0.07050125353038311
1,23,100,12.63,-0.06673231258988381
1,24,100,11.08,-0.06909282512962818
1,25,100,9.77,-0.06740782067179679
1,26,100,12.68,-0.06818315073847771
1,27,100,5.99,-0.06711394779384136
1,28,100,1.18,-0.06826084263622761
1,29,100,10.51,-0.06702378988265992
1,30,100,12.73,-0.0676541006565094
1,31,100,11.05,-0.068991544470191
1,32,100,6.32,-0.07007874019443988
1,33,100,4.54,-0.06797121345996857
1,34,100,4.0,-0.06761370144784451
1,35,100,3.53,-0.06682127945125103
1,36,100,1.04,-0.06933016136288643
1,37,100,1.91,-0.06642427258193492
2,1,100,7.48,0.06022891256958246
2,2,100,5.01,0.06102563332766295
2,3,100,3.66,0.06033718504011631
2,4,100,2.3,0.060878485180437564
2,5,100,3.28,0.05578692939132452
2,6,100,2.75,0.054536238797008994
2,7,100,2.14,0.055555648133158685
2,8,100,2.0,0.05567288804799318
2,9,100,8.64,0.05906422521919012
2,10,100,4.97,0.06022600460797548
2,11,100,14.32,0.0507713808119297
2,12,100,3.03,0.05663033917546272
2,13,100,2.36,0.058628914766013625
2,14,100,1.85,0.06872847475111485
2,15,100,4.47,0.07525757931172848
2,16,100,0.93,0.07362711481750012
2,17,100,12.88,0.06577690854668618
2,18,100,9.57,0.05576299127191305
2,19,100,10.12,0.05669529814273119
2,20,100,7.58,0.05908929657191038
2,21,100,5.12,0.049319882579147815
2,22,100,9.2,0.04164272915571928
2,23,100,10.36,0.04215216726064682
2,24,100,5.44,0.03587786599993706
2,25,100,3.65,0.04908776566386223
2,26,100,4.25,0.04078883085399866
2,27,100,11.56,0.03951681360602379
2,28,100,10.0,0.04935463018715382
2,29,100,9.36,0.05528760831803083
2,30,100,8.41,0.055663116201758386
2,31,100,11.53,0.05890359163284302
2,32,100,9.5,0.05671112459152937
2,33,100,6.05,0.053766593784093854
2,34,100,1.35,0.050803120397031304
2,35,100,1.04,0.054842772632837294
2,36,100,1.71,0.06905933171510696
2,37,100,2.41,0.058884250074625014
2,38,100,12.62,0.06547993931919337
2,39,100,6.78,0.06469892635941506
2,40,100,6.38,0.05865823656320572
2,41,100,0.17,0.06074747070670128
3,1,100,15.64,0.032437442354857925
3,2,100,3.94,0.03292266733944416
3,3,100,4.96,0.03306860268115997
3,4,100,5.05,0.03325409017503261
3,5,100,2.25,0.03341626837849617
3,6,100,5.64,0.033818539939820765
3,7,100,4.36,0.03320397682487965
3,8,100,6.08,0.03346914555877447
3,9,100,16.55,0.03391087763011456
3,10,100,10.59,0.03383602928370237
3,11,100,10.1,0.034179860465228556
3,12,100,10.48,0.033097085691988465
3,13,100,3.92,0.03392939880490303
3,14,100,4.92,0.03303186617791653
3,15,100,0.27,0.03296819400042295
3,16,100,1.12,0.034268030673265455
3,17,100,4.34,0.03381850358098745
3,18,100,3.33,0.03389326341450214
3,19,100,3.42,0.03447386164218187
3,20,100,1.24,0.033754742480814455
4,1,100,4.69,-0.16232884138822556
4,2,100,1.53,-0.1589553275704384
4,3,100,4.31,-0.16238562136888504
4,4,100,2.16,-0.16217637524008752
4,5,100,2.18,-0.15933020189404487
4,6,100,2.04,-0.16105807483196258
4,7,100,3.78,-0.16490895792841911
4,8,100,1.88,-0.15655466556549072
4,9,100,6.33,-0.1674267254769802
4,10,100,2.45,-0.16387372955679894
4,11,100,1.03,-0.16464704766869545
4,12,100,10.62,-0.16061666667461394
4,13,100,12.17,-0.16631393730640412
4,14,100,3.71,-0.16732954412698745
4,15,100,0.48,-0.16417944431304932
