game,round,num_iterations,max_depth,avg_depth,time_taken,num_children,value
1,1,431,2,2.0,1.0,3,-0.13995359628770385
1,2,376,2,2.0,1.0,2,-0.13427551221434197
1,3,341,2,2.0,1.0,1,-0.12940438871473298
1,4,320,2,2.0,1.0,1,-0.14577161114687323
1,5,295,2,2.0,1.0,1,0.16103947650718675
1,6,287,2,2.0,1.0,4,0.18841332948516035
