game,round,iteration,depth,current_player,terr_attacked_in_round (actions taken)
1,1,10,3,Italians,2
1,1,10,3,Germans,2
1,1,10,4,Chinese,2
1,1,10,4,Russians,1
1,1,10,4,Italians,2
1,1,10,4,Germans,3
1,1,11,0,Chinese,1
1,1,11,0,Russians,1
1,1,11,0,Italians,2
1,1,11,0,Germans,2
1,1,11,1,Chinese,3
1,1,11,1,Russians,3
1,1,11,1,Italians,3
1,1,11,1,Germans,2
1,1,11,2,Chinese,1
1,1,11,2,Russians,2
1,1,11,2,Italians,2
1,1,11,2,Germans,2
1,1,11,3,Chinese,1
1,1,11,3,Russians,3
1,1,11,3,Italians,2
1,1,11,3,Germans,2
1,1,11,4,Chinese,1
1,1,11,4,Russians,1
1,1,11,4,Italians,2
1,1,11,4,Germans,2
1,1,12,0,Chinese,1
1,1,12,0,Russians,1
1,1,12,0,Italians,2
1,1,12,0,Germans,2
1,1,12,1,Chinese,2
1,1,12,1,Russians,3
1,1,12,1,Italians,3
1,1,12,1,Germans,3
1,1,12,2,Chinese,2
1,1,12,2,Russians,2
1,1,12,2,Italians,2
1,1,12,2,Germans,2
1,1,12,3,Chinese,1
1,1,12,3,Russians,1
1,1,12,3,Italians,2
1,1,12,3,Germans,2
1,1,12,4,Chinese,2
1,1,12,4,Russians,1
1,1,12,4,Italians,1
1,1,12,4,Germans,1
