game,round,num_iterations,root_node_visits,best_node_visits,best_node_value,avg_depth,explored,total_actions
2,21,6,6,1,-0.20491803278688525,9.0,6,71819
2,22,5,5,1,-0.3967391304347826,10.0,5,18774
2,23,6,6,1,0.07754010695187166,9.333333333333334,6,272194
2,24,5,5,1,-0.3469945355191257,10.0,5,59206
2,25,6,6,1,-0.42971246006389774,9.5,6,93480
2,26,6,6,1,-0.3634020618556701,8.666666666666666,6,113160
2,27,6,6,1,-0.167574931880109,8.833333333333334,6,376257
2,28,5,5,1,-0.37341772151898733,9.8,5,217350
2,29,6,6,1,-0.21388101983002833,9.166666666666666,6,646875
2,30,6,6,1,-0.23804971319311663,8.833333333333334,6,62210
2,31,6,6,1,-0.4193954659949622,8.5,6,761399
2,32,5,5,1,-0.2981651376146789,9.2,5,110250
2,33,5,5,1,-0.4476987447698745,9.8,5,1690500
2,34,6,6,1,-0.20859538784067086,8.833333333333334,6,274752
2,35,5,5,1,-0.23598130841121495,9.6,5,1723904
2,36,6,6,1,-0.3979591836734694,8.833333333333334,6,224402
2,37,6,6,1,-0.10336538461538461,8.666666666666666,6,521728
2,38,5,5,1,-0.13474387527839643,9.6,5,378624
2,39,5,5,1,-0.1801470588235294,9.2,5,845987
2,40,5,5,1,-0.3261904761904762,9.4,5,676512
2,41,5,5,1,0.028735632183908046,9.6,5,714094
2,42,5,5,5,0.16300949279453697,9.8,1,1
3,1,13,13,5,0.20400000000000001,9.923076923076923,3,3
3,2,10,10,4,0.14149019446275546,9.2,3,3
3,3,8,8,2,-0.006779661016949157,10.0,4,4
3,4,8,8,2,-0.013287671232876719,9.75,5,5
3,5,7,7,4,0.14468420967998413,9.714285714285714,2,2
3,6,7,7,1,-0.22727272727272727,9.571428571428571,7,41
3,7,7,7,1,-0.26859504132231404,9.0,7,12
3,8,7,7,1,-0.21559633027522937,8.857142857142858,7,7
3,9,6,6,1,-0.22992700729927007,10.0,6,2383
3,10,6,6,1,-0.22131147540983606,9.333333333333334,6,3564
3,11,6,6,1,-0.2181208053691275,10.0,6,15841
3,12,6,6,1,-0.18711656441717792,9.0,6,14561
3,13,6,6,1,-0.20103092783505155,8.666666666666666,6,40950
3,14,6,6,1,-0.24778761061946902,9.166666666666666,6,10945
3,15,6,6,1,-0.1276595744680851,9.166666666666666,6,141120
3,16,6,6,1,-0.2014218009478673,9.333333333333334,6,16758
3,17,6,6,1,-0.2701863354037267,10.0,6,240198
3,18,6,6,1,-0.3458498023715415,9.166666666666666,6,36962
3,19,5,5,1,-0.29310344827586204,10.0,5,115921
3,20,5,5,1,-0.122568093385214,9.2,5,46370
3,21,6,6,1,-0.08461538461538462,8.666666666666666,6,12098
3,22,6,6,1,0.11538461538461539,9.0,6,24194
3,23,6,6,1,-0.16840731070496084,9.333333333333334,6,23042
3,24,7,7,1,-0.040983606557377046,9.0,7,28
3,25,7,7,2,0.08252710592160134,10.0,4,4
3,26,7,7,1,0.15517241379310345,9.285714285714286,7,439
3,27,6,6,1,-0.05,9.833333333333334,6,439
3,28,6,6,1,0.050239234449760764,9.5,6,873
3,29,6,6,1,0.3516483516483517,9.833333333333334,6,2829
3,30,7,7,1,0.33687943262411346,9.142857142857142,7,4035
3,31,7,7,1,0.76,8.0,7,11497
3,32,9,9,1,0.72,7.888888888888889,9,19
4,1,16,16,6,0.21212121212121213,9.625,3,3
4,2,10,10,4,0.1202913809450312,9.7,3,3
4,3,8,8,4,0.13211234687298518,9.875,2,2
4,4,8,8,2,0.03894009216589861,10.0,7,7
4,5,7,7,3,0.1436986185269938,10.0,3,3
4,6,8,8,3,0.08231098473332497,9.125,3,3
4,7,8,8,3,0.07912892135326226,9.0,3,3
4,8,7,7,4,0.11743849978216363,10.0,2,2
4,9,7,7,2,-0.010721042673954156,9.428571428571429,4,4
4,10,7,7,4,0.19646888750662336,9.428571428571429,2,2
4,11,7,7,1,-0.39634146341463417,9.571428571428571,7,3800
4,12,7,7,1,-0.16025641025641027,9.714285714285714,7,2048
4,13,7,7,1,-0.25109170305676853,9.428571428571429,7,2052
4,14,7,7,1,-0.4945652173913043,10.0,7,1936
4,15,7,7,1,-0.2660377358490566,9.285714285714286,7,1954
4,16,7,7,1,-0.3835978835978836,10.0,7,59
4,17,7,7,1,-0.21223021582733814,10.0,7,9
4,18,7,7,1,-0.25824175824175827,9.714285714285714,7,6084
4,19,7,7,1,0.08273381294964029,9.428571428571429,7,6554
4,20,7,7,1,0.30165289256198347,8.857142857142858,7,15876
4,21,6,6,1,0.15,10.0,6,9408
4,22,7,7,1,-0.2874015748031496,8.857142857142858,7,69890
4,23,6,6,1,0.012711864406779662,9.833333333333334,6,28742
4,24,6,6,1,-0.23482428115015974,9.833333333333334,6,114912
4,25,6,6,1,-0.05555555555555555,9.5,6,30978
4,26,6,6,1,-0.008264462809917356,9.666666666666666,6,74052
4,27,6,6,1,-0.03216374269005848,9.5,6,31416
4,28,6,6,1,-0.09705159705159705,9.333333333333334,6,178023
4,29,6,6,1,-0.23151750972762647,9.666666666666666,6,82823
4,30,4,4,1,-0.042105263157894736,8.5,4,306932
4,31,6,6,1,-0.2323943661971831,8.5,6,55296
4,32,6,6,1,-0.25,8.666666666666666,6,446395
4,33,6,6,1,-0.20031545741324921,9.5,6,45163
4,34,7,7,1,-0.2702127659574468,8.714285714285714,7,790020
4,35,7,7,1,-0.022598870056497175,9.428571428571429,7,84360
4,36,7,7,1,0.05522388059701493,9.714285714285714,7,534280
4,37,7,7,1,0.14590163934426228,9.714285714285714,7,33349
4,38,7,7,1,0.34545454545454546,9.857142857142858,7,33349
4,39,8,8,1,0.14527027027027026,9.375,8,33352
4,40,7,7,1,0.11988304093567251,9.142857142857142,7,33354
4,41,7,7,1,-0.10611510791366907,9.714285714285714,7,65689
4,42,7,7,1,-0.33374083129584353,10.0,7,31420
4,43,7,7,1,-0.43516209476309226,10.0,7,31929
4,44,8,8,1,0.09568733153638814,9.25,8,32633
4,45,9,9,1,0.08793969849246232,9.444444444444445,9,37031
4,46,8,8,1,0.08392434988179669,10.0,8,36266
4,47,9,9,1,-0.11633663366336634,9.444444444444445,9,34474
4,48,10,10,1,0.13069544364508393,9.2,10,17010
4,49,9,9,3,0.024239159957675584,9.222222222222221,4,4
4,50,8,8,1,-0.07098765432098765,9.875,8,123986
4,51,7,7,1,0.12527716186252771,9.714285714285714,7,23249
4,52,8,8,1,-0.06134969325153374,9.0,8,46496
4,53,7,7,1,-0.49226804123711343,10.0,7,24378
4,54,8,8,1,-0.2961630695443645,9.375,8,13918
