=== Round-wise Reduction Data ===

 game  round  total_moves  pruned_moves  reduction_percent
    4     55         7616          7616           0.000000
    4     56        91392         30468          66.662290
    4     57         9316          9252           0.686990
    4     58        17926         17922           0.022314
    4     59        28462         18978          33.321622
    4     60        18996         18976           0.105285
    4     61        29970         20486          31.644978
    4     62        12006         11990           0.133267
    4     63        13176         13176           0.000000
    4     64         7371          7371           0.000000
    4     65        64638         64638           0.000000
    4     66        79002         79001           0.001266
    4     67        92664         92656           0.008633
    4     67        24336         24336           0.000000
    4     67        24336         24336           0.000000
    4     67        24336         24336           0.000000
    4     67        12181         12180           0.008210
    4     67        23712         23712           0.000000
    4     67        23712         23712           0.000000
    4     67        23088         23088           0.000000
    4     67        11557            14          99.878861
    4     67         1702           853          49.882491
    4     67          805           805           0.000000
    4     67         2415          2407           0.331263
    4     79          690           681           1.304348
    5      1           18             3          83.333333
    5      2           10             3          70.000000
    5      3            6             2          66.666667
    5      4            2             0         100.000000
    5      5           14             2          85.714286
    5      6           10             5          50.000000
    5      7           16             5          68.750000
    5      8           20             5          75.000000
    5      9           26            16          38.461538
    5     10          796           794           0.251256
    5     11         6050          6048           0.033058
    5     12         8448          8448           0.000000
    5     13         3888          3888           0.000000
    5     14        24624         24624           0.000000
    5     15        13392         13392           0.000000
    5     16        96348         96348           0.000000
    5     17        12495         12495           0.000000
    5     18        52598         52597           0.001901
    5     19        31416         31416           0.000000
    5     20        95744         95744           0.000000
    5     21        28512         28512           0.000000
    5     22       180576        180575           0.000554
    5     23        70980         70980           0.000000
    5     24       111384        111382           0.001796
    5     25        85050         85050           0.000000
    5     26       367200        367198           0.000545
    5     27        55692         55692           0.000000
    5     28      1800708       1800708           0.000000
    5     29       245520        163682          33.332519
    5     30       750200        750200           0.000000
    5     31       107019        107019           0.000000
    5     32       244398        244396           0.000818
    5     33       111090        111090           0.000000
    5     34      1014300       1014299           0.000099
    5     35       270618        180414          33.332594
    5     36      1553112       1553112           0.000000


=== Game-wise Summary (Avg of Round-wise Reduction) ===

   game  rounds  avg_round_reduction  avg_round_reduction_percent
      1    72.0             0.119220                    11.921986
      2    42.0             0.171747                    17.174733
      3    32.0             0.311666                    31.166552
      4    79.0             0.155593                    15.559275
      5    36.0             0.195800                    19.580027
OVERALL    52.2             0.190805                    19.080515
