profile,func_name,ncalls,time,time_per_call,total_time
mcts_heuristic_v2/profiles/mcts_301_01.prof,unit_count,7324,0.001749188,2.3882960131075914e-07,0.9986926280000001
mcts_heuristic_v2/profiles/mcts_301_01.prof,<genexpr>,9940,0.004111674,4.136492957746479e-07,0.9986926280000001
mcts_heuristic_v2/profiles/mcts_301_01.prof,__init__,6346,0.00045897300000000005,7.232477150961237e-08,0.9986926280000001
mcts_heuristic_v2/profiles/mcts_301_01.prof,__init__,5342,0.000622175,1.1646855110445526e-07,0.9986926280000001
mcts_heuristic_v2/profiles/mcts_301_02.prof,expand,330,0.000202417,6.133848484848486e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,heuristic_combat_legal_moves,9161,0.186596948,2.0368622202816286e-05,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,pick_rollout_move,9148,0.012046270000000001,1.3168200699606473e-06,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,set_terr_lists,2310,0.00816775,3.5358225108225107e-06,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,apply_purchase_move,2310,0.0024598140000000003,1.0648545454545455e-06,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,territory_priority,6930,0.009638915000000001,1.3908968253968255e-06,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,simulate,330,0.033204653,0.0001006201606060606,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,purchase_legal_moves,2310,0.023484585000000002,1.0166487012987013e-05,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,apply_combat_move,6521,0.008374803,1.2842820119613557e-06,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,apply_noncombat_move,11122,0.00887664,7.981154468620751e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,heuristic_non_combat_legal_moves,2640,0.104018941,3.940111401515152e-05,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,assess_strategic_mode,2310,0.024440361,1.0580242857142857e-05,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,best_child_uct,1259,0.0012876110000000001,1.0227251787132647e-06,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<genexpr>,14668,0.002668162,1.8190359967275702e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<genexpr>,14480,0.0031602220000000003,2.1824737569060777e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,is_terminal,3314,0.004830109,1.4574861194930597e-06,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<genexpr>,14480,0.001321033,9.123156077348067e-08,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,reset_moved_flags,660,0.0012678860000000002,1.9210393939393942e-06,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,backpropagate,330,0.00017397700000000002,5.272030303030304e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<lambda>,12477,0.0006561420000000001,5.258812214474634e-08,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<genexpr>,13860,0.002262791,1.6326053391053392e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<genexpr>,12813,0.0022031530000000002,1.719466947631312e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,is_terminal,1589,0.00011894600000000001,7.485588420390183e-08,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<genexpr>,9240,0.0017350430000000001,1.8777521645021648e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<genexpr>,16570,0.002133376,1.28749305974653e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,is_fully_expanded,1286,0.00022780600000000002,1.7714307931570764e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<genexpr>,14668,0.00127511,8.693141532587947e-08,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,__init__,13,4.6690000000000005e-06,3.591538461538462e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,update_income,2640,0.004455553,1.6877094696969697e-06,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,unit_attack,6930,0.001617371,2.333868686868687e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,unit_defense,6930,0.0018910490000000001,2.728786435786436e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,tuv_of,9240,0.003290453,3.56109632034632e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<genexpr>,9240,0.002296302,2.485175324675325e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<genexpr>,17538,0.0020176490000000003,1.1504441783555709e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<genexpr>,4620,0.0009673390000000001,2.0938073593073595e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<genexpr>,2310,0.001055128,4.5676536796536796e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,getNextAction,330,6.7308e-05,2.0396363636363637e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<genexpr>,91344,0.034708984000000005,3.7998099492030135e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,clone,343,0.001090065,3.178032069970846e-06,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<genexpr>,6930,0.000982126,1.4172092352092353e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,get_reachable_enemy_territories,2310,0.008774790000000001,3.79861038961039e-06,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<genexpr>,9240,0.002041812,2.209753246753247e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,unit_count,6930,0.0016308260000000002,2.3532842712842715e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,<genexpr>,9240,0.004066826,4.4013268398268395e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,__init__,6869,0.000502181,7.310831270927355e-08,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_02.prof,__init__,4957,0.0005910980000000001,1.1924510792818238e-07,1.0007174869999997
mcts_heuristic_v2/profiles/mcts_301_03.prof,expand,304,0.00016003,5.264144736842105e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,heuristic_combat_legal_moves,7324,0.19485217100000002,2.660461100491535e-05,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,pick_rollout_move,7320,0.010418599,1.42330587431694e-06,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,set_terr_lists,2128,0.007346844000000001,3.4524642857142863e-06,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,apply_purchase_move,2128,0.002276409,1.0697410714285715e-06,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,territory_priority,6384,0.008780832,1.3754436090225564e-06,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,simulate,304,0.030204035,9.935537828947368e-05,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,purchase_legal_moves,2128,0.022137709000000002,1.0403058740601505e-05,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,apply_combat_move,4892,0.010927091,2.233665372035977e-06,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,apply_noncombat_move,12565,0.009250919,7.362450457620374e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,heuristic_non_combat_legal_moves,2432,0.11034777800000001,4.537326398026316e-05,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,assess_strategic_mode,2128,0.022550036000000002,1.059682142857143e-05,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,best_child_uct,1194,0.0010433130000000001,8.737964824120604e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<genexpr>,16714,0.003199252,1.9141151130788562e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<genexpr>,15722,0.003508887,2.2318324640630962e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,is_terminal,3045,0.004495996,1.4765175697865354e-06,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<genexpr>,15722,0.001456667,9.26515074418013e-08,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,reset_moved_flags,608,0.0012315890000000002,2.0256398026315794e-06,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,backpropagate,304,0.00015328500000000002,5.042269736842105e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<lambda>,11330,0.000603799,5.329205648720212e-08,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<genexpr>,12768,0.0021661830000000003,1.696571898496241e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<genexpr>,10640,0.001941065,1.824309210526316e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,is_terminal,1498,0.00010914500000000001,7.286048064085449e-08,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<genexpr>,8512,0.001622446,1.9060690789473685e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<genexpr>,15225,0.00197113,1.294666666666667e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,is_fully_expanded,1203,0.00021102500000000002,1.754156275976725e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,<genexpr>,16714,0.00145567,8.709285628814167e-08,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,__init__,4,1.472e-06,3.68e-07,0.9988932020000005
mcts_heuristic_v2/profiles/mcts_301_03.prof,update_income,2432,0.0040523650000000005,1.666268503289474e-06,0.9988932020000005
