game,round,pu_after,territories_before,territories_after
1,1,14,2,3
1,2,18,3,5
1,3,24,5,8
1,4,26,7,9
1,5,37,7,8
1,6,37,7,8
1,7,39,7,9
1,8,45,9,12
1,9,51,12,15
1,10,51,14,15
1,11,45,12,12
1,12,26,9,9
1,13,24,6,8
1,14,28,8,10
1,15,43,10,11
1,16,83,11,13
1,17,57,13,14
1,18,61,14,16
1,19,103,15,16
1,20,56,15,16
1,21,69,15,16
1,22,69,15,16
1,23,71,16,17
1,24,75,17,19
1,25,79,19,21
1,26,81,21,22
1,27,83,22,23
1,28,85,23,24
1,29,89,24,26
